trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,5.2,6.36,2,2,3
2,2,4,2,3.14,4.04,1,2,4
3,1,4,4,3.23,3.23,1,1,4
4,2,4,3,2.55,3.32,2,1,4
5,2,3,3,4.6,5.57,1,2,3
6,1,4,4,1.51,3.92,1,1,4
7,1,4,4,1.55,3.75,1,1,4
8,2,3,3,2.47,3.57,1,2,3
9,2,3,2,3.28,4.37,1,2,3
10,1,3,1,2.63,4.9,1,1,3
11,1,3,1,2.77,3.81,1,1,3
12,2,3,4,3.33,4.44,2,1,3
13,1,4,4,3.47,3.47,1,1,4
14,1,4,4,3.2,4.05,1,1,4
15,2,4,4,3.47,3.47,1,2,4
16,2,3,4,2.02,4.56,2,1,3
17,2,3,2,2.27,3.45,1,2,3
18,1,4,1,3.54,4.71,1,1,4
19,1,3,3,3.01,3.67,1,1,3
20,1,4,4,4.31,4.31,1,1,4
21,2,3,1,5.11,6.15,2,1,3
22,2,4,4,5.06,5.06,1,2,4
23,2,4,2,3.91,5.06,1,2,4
24,1,4,4,3.78,3.78,1,1,4
25,2,4,4,4.09,4.09,1,2,4
26,2,3,3,4.19,4.8,1,2,3
27,2,4,4,2.44,3.54,1,2,4
28,2,3,2,4.78,5.9,1,2,3
29,2,3,1,2.05,3.14,2,1,3
30,2,3,4,2.89,2.89,2,1,3
31,2,3,3,2.24,2.75,1,2,3
32,1,3,4,3.84,3.84,2,2,3
33,2,4,4,3.4,3.4,1,2,4
34,2,3,3,2.43,3.56,1,2,3
35,1,4,4,1.53,4.26,1,1,4
36,2,4,4,4.34,4.37,1,2,4
37,1,3,3,3.37,4.18,1,1,3
38,2,3,4,1.54,8.33,2,1,3
39,2,4,4,1.66,4.2,1,2,4
40,1,3,1,3.11,4.25,1,1,3
41,2,4,4,4.31,4.31,1,2,4
42,2,4,4,3.34,3.34,1,2,4
43,1,3,1,2.44,3.46,1,1,3
44,2,3,,6.45,,4,1,3
45,1,3,3,2.11,2.72,1,1,3
46,2,3,3,3.45,4.09,1,2,3
47,1,4,4,3.34,3.34,1,1,4
48,1,3,4,3.49,5.66,2,2,3
49,1,3,1,3.29,4.4,1,1,3
50,1,4,4,3.22,3.22,1,1,4
51,2,4,4,3.56,3.56,1,2,4
52,2,3,,,,3,1,3
53,1,4,2,2.46,3.73,2,2,4
54,2,4,2,2.75,3.73,1,2,4
55,1,4,4,3.86,3.86,1,1,4
56,2,4,4,4.25,4.25,1,2,4
57,1,4,4,4.02,4.02,1,1,4
58,2,4,4,3.19,3.19,1,2,4
59,1,3,1,3.18,4.36,1,1,3
60,2,3,2,2.94,3.93,1,2,3
61,2,3,2,2.79,3.74,1,2,3
62,1,3,1,4.19,5.16,1,1,3
63,2,4,2,3.48,4.44,1,2,4
64,2,4,2,2.88,3.97,1,2,4
65,2,3,2,3.32,4.02,1,2,3
66,1,4,1,3.39,4.04,1,1,4
67,2,3,2,3.08,4.08,1,2,3
68,2,4,2,2.44,3.41,1,2,4
69,1,3,,,,3,2,3
70,1,3,1,3.43,4.44,1,1,3
71,1,3,1,2.86,3.58,1,1,3
72,2,4,2,2.7,3.43,1,2,4
73,1,3,1,2.36,2.96,1,1,3
74,1,4,4,3.7,3.7,1,1,4
75,2,3,2,3.35,4.37,1,2,3
76,1,3,3,6.3,6.96,1,1,3
77,2,3,4,3.31,3.31,2,1,3
78,1,3,1,2.43,3.32,1,1,3
79,1,4,1,2.46,3.5,1,1,4
80,1,3,3,4.46,5.55,1,1,3
81,2,3,2,3.32,4.46,1,2,3
82,1,4,1,4.7,5.47,1,1,4
83,2,3,2,2.82,3.6,1,2,3
84,1,3,3,5.04,5.75,1,1,3
85,2,4,4,4.02,4.02,1,2,4
86,1,3,1,3.56,4.56,1,1,3
87,1,3,1,2.32,3.41,1,1,3
88,1,3,1,2.2,2.91,1,1,3
89,1,4,1,2.42,3.06,1,1,4
90,2,4,2,3.66,4.66,1,2,4
91,2,4,2,3.14,4.25,1,2,4
92,2,3,2,2.66,3.38,1,2,3
93,2,3,2,2.2,2.91,1,2,3
94,1,3,1,3.09,3.77,1,1,3
95,2,3,2,2.44,3.39,1,2,3
96,1,3,1,3.91,4.97,1,1,3
97,2,3,4,3.17,3.17,2,1,3
98,2,3,2,3.69,4.63,1,2,3
99,2,3,2,3.92,4.96,1,2,3
100,1,3,4,3.99,3.99,2,2,3
101,1,3,1,3.18,4.17,1,1,3
102,2,4,2,2.3,3.23,1,2,4
103,2,4,2,2.47,3.71,1,2,4
