stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward,reward_type
1,4,14,0,0,1,1,0,0,1,1,0,,0
1,4,15,1,0,0,1,0,1,1,0,2,0.0,1
1,4,16,1,1,0,0,1,1,0,0,0,,0
1,4,17,0,1,1,0,0,1,1,0,0,,0
1,4,18,1,0,0,1,1,0,0,1,2,0.0,1
1,4,19,1,1,0,0,0,0,1,1,1,,1
1,4,20,1,1,0,0,1,1,0,0,2,0.0,1
1,4,21,0,1,1,0,1,0,0,1,1,0.0,1
1,4,22,0,1,1,0,1,0,0,1,2,1.0,1
1,4,23,1,1,0,0,1,1,0,0,1,1.0,1
1,4,24,0,1,1,0,1,0,0,1,3,1.0,2
1,4,25,0,0,1,1,0,0,1,1,1,0.0,1
1,4,26,1,1,0,0,0,0,1,1,3,0.0,2
1,4,27,0,1,1,0,0,1,1,0,4,1.0,2
1,4,28,1,1,0,0,0,0,1,1,2,0.0,1
1,4,29,1,0,0,1,0,1,1,0,0,,0
1,4,30,0,1,1,0,1,0,0,1,0,,0
1,4,31,0,0,1,1,0,0,1,1,3,0.0,2
1,4,32,1,0,0,1,0,1,1,0,0,,0
1,4,33,0,0,1,1,0,0,1,1,0,,0
1,4,34,0,1,1,0,1,0,0,1,1,0.0,1
1,4,35,1,0,0,1,0,1,1,0,2,0.0,1
1,4,36,0,1,1,0,1,0,0,1,0,,0
1,4,37,0,0,1,1,0,0,1,1,1,0.0,1
1,4,38,1,0,0,1,1,0,0,1,2,0.0,1
1,4,39,1,0,0,1,0,1,1,0,1,1.0,1
1,4,40,1,0,0,1,1,0,0,1,4,0.0,2
1,4,41,1,1,0,0,1,1,0,0,2,0.0,1
1,4,42,0,0,1,1,1,1,0,0,0,,0
1,4,43,1,1,0,0,0,0,1,1,2,0.0,1
1,4,44,1,1,0,0,1,1,0,0,1,1.0,1
1,4,45,0,1,1,0,0,1,1,0,2,1.0,1
1,4,46,0,0,1,1,1,1,0,0,2,1.0,1
1,4,47,1,0,0,1,1,0,0,1,1,1.0,1
1,4,48,1,0,0,1,0,1,1,0,2,0.0,1
1,4,49,0,1,1,0,1,0,0,1,4,0.0,2
1,4,50,1,0,0,1,0,1,1,0,1,1.0,1
1,5,1,1,1,0,0,1,1,0,0,1,1.0,1
1,5,2,1,1,0,0,0,0,1,1,1,1.0,1
1,5,3,0,1,1,0,1,0,0,1,1,0.0,1
1,5,4,1,1,0,0,1,1,0,0,3,1.0,2
1,5,5,1,1,0,0,1,1,0,0,1,1.0,1
1,5,6,1,1,0,0,1,1,0,0,3,1.0,2
1,5,7,1,0,0,1,0,1,1,0,1,1.0,1
1,5,8,0,0,1,1,0,0,1,1,4,1.0,2
1,5,9,0,0,1,1,1,1,0,0,2,1.0,1
1,5,10,1,1,0,0,1,1,0,0,1,1.0,1
1,5,11,0,1,1,0,0,1,1,0,2,1.0,1
1,5,12,0,1,1,0,0,1,1,0,1,0.0,1
1,5,13,1,1,0,0,0,0,1,1,2,0.0,1
1,5,14,0,0,1,1,1,1,0,0,1,0.0,1
1,5,15,0,0,1,1,1,1,0,0,0,,0
1,5,16,0,0,1,1,1,1,0,0,1,0.0,1
1,5,17,1,1,0,0,0,0,1,1,1,1.0,1
1,5,18,0,0,1,1,0,0,1,1,3,0.0,2
1,5,19,0,0,1,1,0,0,1,1,1,0.0,1
1,5,20,1,1,0,0,0,0,1,1,1,1.0,1
1,5,21,1,1,0,0,1,1,0,0,2,0.0,1
1,5,22,1,1,0,0,0,0,1,1,1,1.0,1
1,5,23,0,1,1,0,1,0,0,1,3,1.0,2
1,5,24,1,1,0,0,1,1,0,0,1,1.0,1
1,5,25,1,1,0,0,1,1,0,0,1,1.0,1
1,5,26,0,1,1,0,1,0,0,1,1,0.0,1
1,5,27,1,1,0,0,1,1,0,0,1,1.0,1
1,5,28,1,1,0,0,0,0,1,1,3,0.0,2
1,5,29,1,1,0,0,1,1,0,0,1,1.0,1
1,5,30,0,0,1,1,1,1,0,0,2,1.0,1
1,5,31,1,1,0,0,1,1,0,0,1,1.0,1
1,5,32,1,0,0,1,1,0,0,1,2,0.0,1
1,5,33,0,1,1,0,0,1,1,0,1,0.0,1
1,5,34,0,0,1,1,1,1,0,0,1,0.0,1
1,5,35,1,1,0,0,0,0,1,1,1,1.0,1
1,5,36,1,1,0,0,1,1,0,0,1,1.0,1
1,5,37,1,1,0,0,0,0,1,1,2,0.0,1
1,5,38,0,1,1,0,0,1,1,0,1,0.0,1
1,5,39,1,0,0,1,1,0,0,1,2,0.0,1
1,5,40,0,1,1,0,0,1,1,0,4,1.0,2
1,5,41,0,1,1,0,0,1,1,0,2,1.0,1
1,5,42,1,1,0,0,0,0,1,1,1,1.0,1
1,5,43,1,1,0,0,1,1,0,0,1,1.0,1
1,5,44,1,0,0,1,1,0,0,1,2,0.0,1
1,5,45,1,1,0,0,0,0,1,1,1,1.0,1
1,5,46,0,0,1,1,0,0,1,1,2,1.0,1
1,5,47,0,0,1,1,0,0,1,1,1,0.0,1
1,5,48,0,1,1,0,1,0,0,1,2,1.0,1
1,5,49,1,0,0,1,1,0,0,1,1,1.0,1
1,5,50,1,1,0,0,1,1,0,0,3,1.0,2
1,5,51,1,0,0,1,1,0,0,1,1,1.0,1
1,5,52,0,0,1,1,0,0,1,1,0,,0
1,5,53,1,1,0,0,0,0,1,1,2,0.0,1
1,5,54,0,0,1,1,0,0,1,1,1,0.0,1
1,5,55,0,0,1,1,1,1,0,0,1,0.0,1
1,5,56,0,1,1,0,0,1,1,0,2,1.0,1
1,5,57,1,0,0,1,1,0,0,1,1,,1
1,5,58,1,0,0,1,1,0,0,1,1,1.0,1
1,5,59,1,1,0,0,0,0,1,1,2,0.0,1
1,5,60,1,1,0,0,1,1,0,0,1,1.0,1
1,5,61,0,1,1,0,0,1,1,0,1,0.0,1
1,5,62,0,1,1,0,0,1,1,0,2,1.0,1
1,5,63,0,1,1,0,1,0,0,1,1,0.0,1
1,5,64,0,1,1,0,1,0,0,1,2,1.0,1
1,5,65,0,0,1,1,0,0,1,1,1,0.0,1
1,5,66,0,1,1,0,1,0,0,1,2,1.0,1
1,5,67,1,1,0,0,1,1,0,0,1,1.0,1
1,5,68,0,1,1,0,0,1,1,0,2,1.0,1
1,5,69,0,0,1,1,0,0,1,1,1,0.0,1
1,5,70,1,0,0,1,1,0,0,1,1,1.0,1
1,5,71,1,0,0,1,1,0,0,1,2,0.0,1
1,5,72,1,1,0,0,1,1,0,0,1,1.0,1
1,5,73,1,1,0,0,0,0,1,1,0,,0
1,5,74,1,1,0,0,1,1,0,0,1,1.0,1
1,5,75,1,1,0,0,0,0,1,1,2,0.0,1
1,5,76,1,0,0,1,1,0,0,1,1,1.0,1
1,5,77,1,1,0,0,0,0,1,1,1,1.0,1
1,5,78,0,1,1,0,1,0,0,1,3,1.0,2
1,5,79,0,1,1,0,0,1,1,0,1,0.0,1
1,6,1,1,0,0,1,0,1,1,0,4,1.0,2
1,6,2,1,1,0,0,0,0,1,1,1,1.0,1
1,6,3,1,1,0,0,1,1,0,0,1,,1
1,6,4,0,0,1,1,1,1,0,0,1,0.0,1
1,6,5,1,1,0,0,1,1,0,0,3,1.0,2
1,6,6,1,1,0,0,0,0,1,1,1,1.0,1
1,6,7,0,0,1,1,1,1,0,0,1,0.0,1
1,6,8,1,1,0,0,0,0,1,1,1,1.0,1
1,6,9,1,0,0,1,1,0,0,1,2,0.0,1
1,6,10,0,0,1,1,0,0,1,1,4,1.0,2
1,6,11,0,0,1,1,0,0,1,1,2,1.0,1
1,6,12,1,0,0,1,1,0,0,1,2,0.0,1
1,6,13,0,0,1,1,0,0,1,1,1,0.0,1
1,6,14,0,0,1,1,1,1,0,0,2,1.0,1
1,6,15,0,1,1,0,1,0,0,1,2,1.0,1
1,6,16,1,1,0,0,0,0,1,1,1,1.0,1
1,6,17,0,1,1,0,0,1,1,0,1,0.0,1
1,6,18,1,0,0,1,0,1,1,0,1,1.0,1
1,6,19,1,0,0,1,1,0,0,1,2,0.0,1
1,6,20,1,0,0,1,1,0,0,1,1,1.0,1
1,6,21,1,0,0,1,1,0,0,1,1,1.0,1
1,6,22,1,1,0,0,0,0,1,1,4,1.0,2
1,6,23,1,0,0,1,0,1,1,0,1,1.0,1
1,6,24,1,1,0,0,1,1,0,0,2,0.0,1
1,6,25,0,1,1,0,0,1,1,0,1,0.0,1
1,6,26,0,0,1,1,1,1,0,0,1,0.0,1
1,6,27,1,1,0,0,0,0,1,1,0,,0
1,6,28,1,1,0,0,1,1,0,0,1,1.0,1
1,6,29,1,1,0,0,1,1,0,0,0,,0
1,6,30,0,0,1,1,1,1,0,0,2,1.0,1
1,6,31,1,1,0,0,0,0,1,1,2,0.0,1
1,6,32,1,0,0,1,0,1,1,0,1,1.0,1
1,6,33,1,1,0,0,0,0,1,1,2,0.0,1
1,6,34,0,0,1,1,0,0,1,1,1,0.0,1
1,6,35,1,1,0,0,0,0,1,1,1,1.0,1
1,6,36,0,1,1,0,1,0,0,1,2,1.0,1
1,6,37,1,1,0,0,1,1,0,0,1,1.0,1
1,6,38,1,0,0,1,1,0,0,1,2,0.0,1
1,6,39,0,1,1,0,1,0,0,1,3,1.0,2
1,6,40,1,1,0,0,1,1,0,0,1,1.0,1
1,6,41,1,0,0,1,0,1,1,0,2,0.0,1
1,6,42,0,1,1,0,0,1,1,0,1,0.0,1
1,6,43,0,1,1,0,0,1,1,0,2,1.0,1
1,6,44,0,1,1,0,0,1,1,0,1,0.0,1
1,6,45,1,0,0,1,1,0,0,1,2,0.0,1
1,6,46,0,1,1,0,0,1,1,0,1,0.0,1
1,6,47,0,0,1,1,0,0,1,1,2,1.0,1
1,6,48,1,0,0,1,1,0,0,1,1,1.0,1
1,6,49,1,1,0,0,0,0,1,1,1,1.0,1
1,6,50,0,1,1,0,1,0,0,1,2,1.0,1
1,6,51,0,1,1,0,1,0,0,1,2,1.0,1
1,6,52,0,0,1,1,1,1,0,0,1,0.0,1
1,7,1,1,0,0,1,0,1,1,0,0,,0
1,7,2,1,1,0,0,1,1,0,0,1,1.0,1
1,7,3,1,0,0,1,0,1,1,0,3,0.0,2
1,7,4,0,1,1,0,1,0,0,1,1,0.0,1
1,7,5,1,1,0,0,1,1,0,0,4,0.0,2
1,7,6,0,1,1,0,0,1,1,0,2,1.0,1
1,7,7,1,0,0,1,0,1,1,0,1,1.0,1
1,7,8,0,0,1,1,0,0,1,1,2,1.0,1
1,7,9,1,0,0,1,0,1,1,0,3,0.0,2
1,7,10,0,1,1,0,0,1,1,0,1,0.0,1
1,7,11,0,1,1,0,1,0,0,1,4,0.0,2
1,7,12,1,0,0,1,0,1,1,0,1,1.0,1
1,7,13,1,1,0,0,0,0,1,1,2,0.0,1
1,7,14,0,0,1,1,0,0,1,1,1,0.0,1
1,7,15,1,0,0,1,1,0,0,1,1,1.0,1
1,7,16,0,0,1,1,0,0,1,1,2,1.0,1
1,7,17,1,1,0,0,1,1,0,0,1,1.0,1
1,7,18,0,1,1,0,0,1,1,0,2,1.0,1
1,7,19,0,0,1,1,0,0,1,1,1,0.0,1
1,7,20,0,1,1,0,1,0,0,1,3,1.0,2
1,7,21,1,0,0,1,1,0,0,1,1,1.0,1
1,7,22,0,1,1,0,0,1,1,0,2,1.0,1
1,7,23,0,0,1,1,1,1,0,0,3,1.0,2
1,7,24,1,0,0,1,0,1,1,0,2,0.0,1
1,7,25,1,1,0,0,1,1,0,0,2,0.0,1
1,7,26,0,1,1,0,1,0,0,1,2,1.0,1
1,7,27,1,0,0,1,1,0,0,1,1,1.0,1
1,7,28,0,0,1,1,0,0,1,1,2,1.0,1
1,7,29,0,1,1,0,1,0,0,1,2,1.0,1
1,7,30,1,1,0,0,0,0,1,1,1,1.0,1
1,7,31,1,0,0,1,0,1,1,0,2,0.0,1
1,7,32,0,0,1,1,0,0,1,1,2,1.0,1
1,7,33,1,1,0,0,0,0,1,1,1,1.0,1
1,7,34,0,1,1,0,1,0,0,1,2,1.0,1
1,7,35,0,0,1,1,0,0,1,1,2,1.0,1
1,7,36,0,0,1,1,1,1,0,0,2,1.0,1
1,7,37,1,1,0,0,0,0,1,1,2,0.0,1
1,7,38,1,1,0,0,1,1,0,0,1,1.0,1
1,7,39,0,0,1,1,0,0,1,1,2,1.0,1
1,7,40,1,0,0,1,1,0,0,1,1,1.0,1
1,7,41,1,1,0,0,0,0,1,1,1,1.0,1
1,7,42,1,1,0,0,1,1,0,0,1,1.0,1
1,7,43,1,0,0,1,0,1,1,0,0,,0
1,7,44,0,0,1,1,0,0,1,1,2,1.0,1
1,7,45,0,1,1,0,0,1,1,0,2,1.0,1
1,7,46,0,0,1,1,1,1,0,0,2,1.0,1
1,7,47,0,0,1,1,0,0,1,1,2,1.0,1
1,7,48,0,1,1,0,1,0,0,1,2,1.0,1
1,7,49,0,1,1,0,1,0,0,1,1,0.0,1
1,7,50,0,0,1,1,1,1,0,0,2,1.0,1
1,7,51,1,0,0,1,0,1,1,0,2,0.0,1
1,7,52,0,1,1,0,1,0,0,1,1,0.0,1
1,7,53,0,1,1,0,1,0,0,1,2,1.0,1
1,7,54,1,1,0,0,1,1,0,0,1,1.0,1
1,7,55,1,0,0,1,1,0,0,1,2,0.0,1
1,7,56,0,1,1,0,0,1,1,0,1,0.0,1
1,7,57,0,0,1,1,1,1,0,0,2,1.0,1
1,7,58,0,0,1,1,0,0,1,1,1,0.0,1
1,7,59,1,1,0,0,1,1,0,0,2,0.0,1
1,7,60,1,0,0,1,0,1,1,0,1,1.0,1
1,7,61,0,0,1,1,0,0,1,1,2,1.0,1
1,7,62,0,1,1,0,0,1,1,0,1,0.0,1
1,7,1,0,1,1,0,0,1,1,0,1,0.0,1
1,7,2,0,0,1,1,1,1,0,0,1,0.0,1
1,7,3,0,0,1,1,0,0,1,1,2,1.0,1
1,7,4,1,1,0,0,1,1,0,0,2,0.0,1
1,7,5,1,0,0,1,1,0,0,1,1,1.0,1
1,7,6,0,0,1,1,1,1,0,0,1,0.0,1
1,7,7,1,0,0,1,1,0,0,1,1,1.0,1
1,7,8,0,1,1,0,1,0,0,1,1,0.0,1
1,7,9,0,1,1,0,1,0,0,1,1,0.0,1
1,7,10,1,1,0,0,0,0,1,1,2,0.0,1
1,7,11,1,0,0,1,0,1,1,0,2,0.0,1
1,7,12,0,1,1,0,0,1,1,0,1,0.0,1
1,7,13,1,0,0,1,0,1,1,0,4,1.0,2
1,7,14,1,0,0,1,1,0,0,1,2,0.0,1
1,7,15,1,1,0,0,0,0,1,1,1,1.0,1
1,7,16,0,0,1,1,1,1,0,0,1,0.0,1
1,7,17,0,1,1,0,1,0,0,1,2,1.0,1
1,7,18,1,0,0,1,0,1,1,0,1,1.0,1
1,7,19,1,0,0,1,1,0,0,1,2,0.0,1
1,7,20,1,1,0,0,1,1,0,0,1,1.0,1
1,7,21,0,0,1,1,0,0,1,1,2,1.0,1
1,7,22,0,0,1,1,1,1,0,0,1,0.0,1
1,7,23,0,0,1,1,1,1,0,0,1,0.0,1
1,7,24,0,1,1,0,1,0,0,1,2,1.0,1
1,7,25,1,1,0,0,1,1,0,0,1,1.0,1
1,7,26,1,0,0,1,0,1,1,0,2,0.0,1
1,7,27,1,0,0,1,1,0,0,1,1,1.0,1
1,7,28,0,1,1,0,0,1,1,0,2,1.0,1
1,7,29,0,0,1,1,1,1,0,0,1,0.0,1
1,7,30,1,0,0,1,0,1,1,0,2,0.0,1
1,7,31,0,0,1,1,0,0,1,1,2,1.0,1
1,7,32,1,0,0,1,1,0,0,1,1,1.0,1
1,7,33,1,1,0,0,0,0,1,1,2,0.0,1
1,7,34,1,0,0,1,1,0,0,1,2,0.0,1
1,7,35,1,1,0,0,1,1,0,0,1,1.0,1
1,7,36,0,1,1,0,0,1,1,0,1,0.0,1
1,7,37,0,0,1,1,0,0,1,1,2,1.0,1
1,7,38,0,0,1,1,0,0,1,1,2,1.0,1
1,7,39,1,1,0,0,0,0,1,1,1,1.0,1
1,7,40,0,0,1,1,0,0,1,1,2,1.0,1
1,7,41,1,0,0,1,1,0,0,1,0,,0
1,7,42,1,1,0,0,1,1,0,0,2,0.0,1
1,7,43,1,0,0,1,0,1,1,0,1,1.0,1
1,7,44,0,1,1,0,0,1,1,0,2,1.0,1
1,7,45,1,0,0,1,1,0,0,1,1,1.0,1
1,7,46,0,1,1,0,1,0,0,1,2,1.0,1
1,7,47,0,1,1,0,0,1,1,0,2,1.0,1
1,7,48,0,0,1,1,0,0,1,1,1,0.0,1
1,7,49,0,0,1,1,0,0,1,1,2,1.0,1
1,7,50,1,1,0,0,0,0,1,1,2,0.0,1
1,7,51,1,0,0,1,0,1,1,0,1,1.0,1
1,8,1,1,0,0,1,0,1,1,0,2,0.0,1
1,8,2,1,0,0,1,0,1,1,0,1,1.0,1
1,8,3,0,1,1,0,1,0,0,1,2,1.0,1
1,8,4,0,0,1,1,0,0,1,1,1,0.0,1
1,8,5,0,1,1,0,0,1,1,0,2,1.0,1
1,8,6,1,0,0,1,1,0,0,1,1,1.0,1
1,8,7,1,1,0,0,1,1,0,0,1,1.0,1
1,8,8,1,0,0,1,1,0,0,1,2,0.0,1
1,8,9,0,1,1,0,1,0,0,1,2,1.0,1
1,8,10,0,1,1,0,1,0,0,1,2,1.0,1
1,8,11,0,1,1,0,1,0,0,1,1,0.0,1
1,8,12,0,1,1,0,1,0,0,1,2,1.0,1
1,8,13,1,1,0,0,1,1,0,0,1,1.0,1
1,8,14,0,1,1,0,1,0,0,1,3,1.0,2
1,8,15,0,0,1,1,1,1,0,0,1,0.0,1
1,8,16,0,0,1,1,0,0,1,1,2,1.0,1
1,8,17,1,0,0,1,0,1,1,0,2,0.0,1
1,8,18,0,1,1,0,1,0,0,1,2,1.0,1
1,8,19,1,0,0,1,0,1,1,0,2,0.0,1
1,8,20,1,1,0,0,0,0,1,1,1,1.0,1
1,8,21,0,0,1,1,0,0,1,1,2,1.0,1
1,8,22,0,0,1,1,1,1,0,0,1,0.0,1
1,8,23,0,1,1,0,1,0,0,1,2,1.0,1
1,8,24,0,1,1,0,1,0,0,1,2,1.0,1
1,8,25,0,0,1,1,0,0,1,1,2,1.0,1
1,8,26,0,1,1,0,0,1,1,0,2,1.0,1
1,8,27,0,1,1,0,1,0,0,1,2,1.0,1
1,8,28,0,0,1,1,1,1,0,0,2,1.0,1
1,8,29,1,0,0,1,0,1,1,0,1,1.0,1
1,8,30,0,0,1,1,0,0,1,1,2,1.0,1
1,8,31,0,1,1,0,1,0,0,1,2,1.0,1
1,8,32,0,1,1,0,1,0,0,1,2,1.0,1
1,8,33,0,0,1,1,0,0,1,1,2,1.0,1
1,8,34,0,1,1,0,1,0,0,1,2,1.0,1
1,8,35,1,0,0,1,0,1,1,0,1,1.0,1
1,8,36,0,1,1,0,1,0,0,1,2,1.0,1
1,8,37,1,0,0,1,0,1,1,0,0,,0
1,8,38,1,1,0,0,0,0,1,1,1,1.0,1
1,8,39,1,1,0,0,1,1,0,0,1,1.0,1
1,8,40,0,1,1,0,0,1,1,0,2,1.0,1
1,8,41,1,0,0,1,0,1,1,0,1,1.0,1
1,8,42,0,0,1,1,1,1,0,0,2,1.0,1
1,8,43,1,0,0,1,0,1,1,0,1,1.0,1
1,8,44,0,1,1,0,0,1,1,0,1,0.0,1
1,8,45,0,0,1,1,1,1,0,0,2,1.0,1
1,8,46,0,0,1,1,0,0,1,1,1,0.0,1
1,8,47,1,0,0,1,0,1,1,0,1,1.0,1
1,8,48,0,1,1,0,0,1,1,0,2,1.0,1
1,8,49,0,1,1,0,1,0,0,1,2,1.0,1
1,8,50,0,0,1,1,0,0,1,1,2,1.0,1
1,8,51,0,1,1,0,0,1,1,0,2,1.0,1
1,8,52,0,0,1,1,0,0,1,1,2,1.0,1
1,8,53,0,0,1,1,1,1,0,0,2,1.0,1
1,8,54,0,1,1,0,0,1,1,0,2,1.0,1
1,8,55,1,0,0,1,0,1,1,0,2,0.0,1
1,8,56,1,1,0,0,1,1,0,0,1,1.0,1
1,8,57,1,1,0,0,0,0,1,1,2,0.0,1
1,8,58,1,1,0,0,1,1,0,0,1,1.0,1
1,8,59,1,0,0,1,0,1,1,0,1,1.0,1
1,8,60,0,0,1,1,1,1,0,0,2,1.0,1
1,8,61,0,0,1,1,1,1,0,0,3,1.0,2
1,8,62,0,0,1,1,0,0,1,1,1,0.0,1
1,8,63,1,0,0,1,0,1,1,0,2,0.0,1
1,8,64,0,1,1,0,1,0,0,1,2,1.0,1
1,8,65,1,1,0,0,1,1,0,0,1,1.0,1
1,8,66,0,1,1,0,1,0,0,1,2,1.0,1
1,8,67,1,0,0,1,0,1,1,0,1,1.0,1
1,8,68,0,1,1,0,1,0,0,1,2,1.0,1
1,8,69,0,1,1,0,0,1,1,0,2,1.0,1
1,8,70,0,0,1,1,1,1,0,0,3,1.0,2
1,8,71,1,1,0,0,0,0,1,1,1,1.0,1
1,8,72,0,0,1,1,1,1,0,0,2,1.0,1
1,8,73,0,0,1,1,0,0,1,1,4,1.0,2
1,8,74,0,0,1,1,0,0,1,1,2,1.0,1
1,8,75,0,1,1,0,1,0,0,1,2,1.0,1
1,8,76,0,0,1,1,0,0,1,1,4,1.0,2
1,8,1,0,0,1,1,1,1,0,0,2,1.0,1
1,8,2,0,0,1,1,1,1,0,0,1,0.0,1
1,8,3,1,1,0,0,0,0,1,1,1,1.0,1
