trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,1,2.23,3.21,1,1,4
2,1,3,4,4.15,4.15,2,2,3
3,2,4,2,2.88,3.78,1,2,4
4,1,3,4,3.06,3.06,2,2,3
5,2,3,3,2.67,3.94,1,2,3
6,1,4,2,4,7.08,2,2,4
7,1,4,4,3.53,3.53,1,1,4
8,1,3,3,3.21,3.86,1,1,3
9,1,3,3,2.53,3.23,1,1,3
10,2,4,1,2.53,3.25,2,1,4
11,1,4,3,3.05,3.65,2,2,4
12,1,4,3,3.22,3.83,2,2,4
13,2,4,4,4.5,4.5,1,2,4
14,2,4,2,2.4,3.18,1,2,4
15,2,3,1,4.63,5.29,2,1,3
16,1,3,3,2.2,3,1,1,3
17,1,4,4,4.07,4.07,1,1,4
18,2,3,4,3.5,3.5,2,1,3
19,2,3,4,3.78,3.78,2,1,3
20,2,4,3,3.29,3.95,2,1,4
21,2,3,2,3.24,4.23,1,2,3
22,2,4,4,3.03,3.03,1,2,4
23,1,4,3,2.55,3.21,2,2,4
24,2,4,3,3.13,3.76,2,1,4
25,2,4,2,2.58,3.44,1,2,4
26,2,4,4,5.13,5.13,1,2,4
27,1,3,3,2.72,3.39,1,1,3
28,2,3,3,3.85,4.67,1,2,3
29,2,3,2,3.14,3.86,1,2,3
30,1,3,4,3.78,3.78,2,2,3
31,2,3,2,2.3,2.99,1,2,3
32,2,4,4,3.11,3.11,1,2,4
33,1,3,3,2.94,3.62,1,1,3
34,2,4,2,2.78,3.54,1,2,4
35,1,3,4,3.63,3.63,2,2,3
36,1,4,3,2.68,3.33,2,2,4
37,2,4,4,3.94,3.94,1,2,4
38,1,4,4,4.12,4.12,1,1,4
39,1,3,3,3.37,4,1,1,3
40,1,3,3,2.49,3.21,1,1,3
41,2,3,2,2.36,2.95,1,2,3
42,1,4,4,3.04,3.04,1,1,4
43,2,4,4,2.95,2.95,1,2,4
44,1,4,3,2.83,3.5,2,2,4
45,1,4,4,3.46,3.46,1,1,4
46,2,4,4,2.87,2.87,1,2,4
47,1,4,4,2.74,2.74,1,1,4
48,1,4,4,3.73,3.73,1,1,4
49,1,3,4,5.34,5.34,2,2,3
50,2,4,4,3.52,3.52,1,2,4
51,2,4,4,3.15,3.15,1,2,4
52,1,3,3,2.68,3.32,1,1,3
53,1,3,3,2.95,3.65,1,1,3
54,1,3,2,2.64,4.28,2,2,3
55,2,4,2,8.06,8.93,1,2,4
56,2,4,4,3.8,3.8,1,2,4
57,2,3,3,3.03,3.64,1,2,3
58,2,4,3,5.11,5.87,2,1,4
59,1,4,4,3.8,3.8,1,1,4
60,2,3,3,3.7,4.29,1,2,3
61,1,3,1,2.7,3.43,1,1,3
62,2,4,4,3.78,3.78,1,2,4
63,1,3,3,3.25,3.88,1,1,3
64,1,3,3,3.53,4.18,1,1,3
65,2,4,2,2.24,3.01,1,2,4
66,2,4,4,3.61,3.61,1,2,4
67,2,4,4,4.09,4.09,1,2,4
68,2,3,3,3.29,3.92,1,2,3
69,2,4,4,3.9,3.9,1,2,4
70,1,3,3,2.77,3.39,1,1,3
71,1,3,3,2.33,3.07,1,1,3
72,2,4,1,2.35,2.99,2,1,4
73,2,4,4,4,4,1,2,4
74,1,4,4,3.8,3.8,1,1,4
75,1,3,1,5.53,6.18,1,1,3
76,1,4,4,4.19,4.19,1,1,4
77,2,4,4,3.26,3.26,1,2,4
78,2,3,3,2.85,3.56,1,2,3
79,2,3,3,2.61,3.26,1,2,3
80,1,4,4,3.1,3.1,1,1,4
81,1,4,4,3.57,3.57,1,1,4
82,2,3,4,3.88,3.88,2,1,3
83,2,4,3,2.57,3.28,2,1,4
84,2,3,4,2.77,2.77,2,1,3
85,2,4,4,3.82,3.82,1,2,4
86,1,3,1,7.71,8.35,1,1,3
87,2,3,3,2.58,3.22,1,2,3
88,2,3,3,2.82,3.6,1,2,3
89,2,4,4,4.03,4.03,1,2,4
90,2,4,2,4.61,5.33,1,2,4
91,2,4,2,3.01,3.83,1,2,4
92,1,3,1,3.07,3.69,1,1,3
93,2,4,4,3.01,3.01,1,2,4
94,1,4,4,3.34,3.34,1,1,4
95,2,4,4,3.47,3.47,1,2,4
96,2,4,4,4.41,4.41,1,2,4
97,1,4,4,3.89,3.89,1,1,4
98,1,3,3,2.42,3.12,1,1,3
99,1,4,4,3.52,3.52,1,1,4
100,1,4,4,6.3,6.3,1,1,4
