trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,3.27,4.31,2,2,3
2,1,4,1,3.24,4.17,1,1,4
3,2,4,3,2.51,3.53,2,1,4
4,2,4,4,3.08,3.08,1,2,4
5,2,3,3,3.67,4.4,1,2,3
6,1,4,4,3.38,3.38,1,1,4
7,1,3,3,4.21,4.95,1,1,3
8,1,4,4,3.38,3.38,1,1,4
9,1,3,3,2.52,3.24,1,1,3
10,2,4,4,4.33,4.33,1,2,4
11,1,4,4,3.04,3.04,1,1,4
12,2,3,3,2.91,3.59,1,2,3
13,2,4,2,3.84,4.71,1,2,4
14,1,3,3,2.88,3.67,1,1,3
15,2,3,4,5.09,5.09,2,1,3
16,1,3,2,4.36,5.34,2,2,3
17,1,3,3,2.75,3.44,1,1,3
18,2,3,4,3.87,3.87,2,1,3
19,1,3,1,3.18,3.78,1,1,3
20,2,3,3,3.11,3.91,1,2,3
21,2,3,3,2.48,3.34,1,2,3
22,1,4,3,3.85,5.23,2,2,4
23,1,4,1,2.02,2.8,1,1,4
24,1,3,3,2.8,3.62,1,1,3
25,2,4,2,2.74,3.44,1,2,4
26,1,3,3,2.24,3.47,1,1,3
27,2,4,4,3.08,3.08,1,2,4
28,2,4,4,3.37,3.37,1,2,4
29,2,3,3,3.26,4.17,1,2,3
30,2,4,3,2.86,3.77,2,1,4
31,1,3,3,3.1,3.99,1,1,3
32,2,3,3,2.78,3.6,1,2,3
33,2,3,3,3.04,3.83,1,2,3
34,1,4,4,3.62,3.62,1,1,4
35,2,3,3,2.31,3.14,1,2,3
36,2,4,4,3.34,3.34,1,2,4
37,1,3,1,1.99,2.94,1,1,3
38,2,3,3,2.42,3.29,1,2,3
39,2,4,1,2.92,3.83,2,1,4
40,2,3,3,2.52,3.47,1,2,3
41,1,4,4,3.08,3.08,1,1,4
42,1,4,2,2.77,3.7,2,2,4
43,1,4,3,3.43,4.29,2,2,4
44,1,3,1,1.99,2.81,1,1,3
45,1,4,1,3.34,4.08,1,1,4
46,2,3,4,3.91,3.91,2,1,3
47,1,4,4,3.91,3.91,1,1,4
48,1,4,4,3.11,3.11,1,1,4
49,2,4,4,3.8,3.8,1,2,4
50,2,4,3,3.94,5,2,1,4
51,1,4,4,3.24,3.24,1,1,4
52,1,4,1,2.43,3.18,1,1,4
53,2,3,3,3.73,4.7,1,2,3
54,1,3,4,3.59,3.59,2,2,3
55,1,3,3,3.14,3.95,1,1,3
56,1,3,2,2.57,3.27,2,2,3
57,2,4,3,3.21,4.35,2,1,4
58,2,4,4,3.83,3.83,1,2,4
59,1,4,3,2.92,3.81,2,2,4
60,2,4,4,4.41,4.41,1,2,4
61,2,4,3,4.31,5.14,2,1,4
62,2,3,3,3.37,4.41,1,2,3
63,2,3,4,5.68,5.68,2,1,3
64,2,4,4,4.15,4.15,1,2,4
65,2,4,4,3.9,3.9,1,2,4
66,1,3,3,2.22,3.01,1,1,3
67,1,3,3,3.82,4.63,1,1,3
68,1,4,1,2.81,3.68,1,1,4
69,2,4,4,4.6,4.6,1,2,4
70,1,4,1,3.09,3.96,1,1,4
71,2,4,4,3.78,3.78,1,2,4
72,1,3,4,4,4,2,2,3
73,2,4,3,3.2,4.11,2,1,4
74,2,4,2,1.91,2.73,1,2,4
75,2,3,2,3.5,4.39,1,2,3
76,1,3,3,2.31,3.05,1,1,3
77,1,4,4,8.31,8.31,1,1,4
78,2,3,2,2.12,2.85,1,2,3
79,1,4,4,3.99,3.99,1,1,4
80,2,4,4,4.45,4.45,1,2,4
81,2,4,2,2.28,2.93,1,2,4
82,1,3,3,2.62,3.57,1,1,3
83,2,4,4,3.51,3.51,1,2,4
84,2,4,4,3.42,3.42,1,2,4
85,1,3,1,2.54,3.52,1,1,3
