trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,1,2.34,3.04,1,1,3
2,1,3,3,2.56,3.33,1,1,3
3,2,3,,,,3,1,3
4,1,4,4,3.68,3.68,1,1,4
5,1,3,1,10.01,10.85,1,1,3
6,2,3,3,3.64,4.49,1,2,3
7,1,3,3,2.6,3.29,1,1,3
8,2,4,4,3.28,3.28,1,2,4
9,1,4,3,3.22,3.87,2,2,4
10,1,4,3,5.02,5.68,2,2,4
11,1,3,4,3.08,3.08,2,2,3
12,2,4,1,2.8,3.43,2,1,4
13,1,3,4,2.94,2.94,2,2,3
14,2,3,4,3.66,3.66,2,1,3
15,2,3,4,2.97,2.97,2,1,3
16,1,3,4,2.96,2.96,2,2,3
17,1,4,2,2.22,3.4,2,2,4
18,2,4,2,2.52,3.26,1,2,4
19,2,3,3,3.32,3.99,1,2,3
20,1,4,1,7.85,8.47,1,1,4
21,1,3,4,8.21,8.21,2,2,3
22,2,4,4,3.76,3.76,1,2,4
23,2,3,4,3.2,3.2,2,1,3
24,2,3,2,10.4,11.12,1,2,3
25,1,4,4,3.92,3.92,1,1,4
26,1,4,1,2.02,2.69,1,1,4
27,1,4,3,3.58,4.28,2,2,4
28,2,3,3,2.96,3.65,1,2,3
29,2,3,3,2.99,3.75,1,2,3
30,2,4,1,3.79,4.48,2,1,4
31,1,4,3,2.98,3.83,2,2,4
32,2,3,3,2.49,3.18,1,2,3
33,1,3,3,5.36,6.06,1,1,3
34,2,4,3,2.75,3.48,2,1,4
35,2,4,2,2.31,3.33,1,2,4
36,1,4,1,3.84,4.53,1,1,4
37,2,3,4,3.54,3.54,2,1,3
38,1,3,4,5.08,5.08,2,2,3
39,2,4,4,3.14,3.14,1,2,4
40,1,4,3,3.21,3.93,2,2,4
41,2,4,3,2.66,3.34,2,1,4
42,2,3,3,4.7,5.52,1,2,3
43,1,4,3,2.75,3.59,2,2,4
44,2,4,2,2.85,3.59,1,2,4
45,1,4,2,6.33,6.73,2,2,4
46,1,4,1,3.36,3.54,1,1,4
47,2,3,3,7.8,8.74,1,2,3
48,1,4,2,9.64,10.56,2,2,4
49,1,4,4,3.72,3.72,1,1,4
50,2,3,3,6.61,7.33,1,2,3
51,2,4,2,2.82,3.6,1,2,4
52,1,3,4,1.58,4.83,2,2,3
53,2,3,3,3.04,3.71,1,2,3
54,1,4,3,3.5,4.16,2,2,4
55,1,4,3,3.75,4.53,2,2,4
56,1,4,3,2.53,3.35,2,2,4
57,2,3,3,3.86,4.57,1,2,3
58,2,3,,4.3,,4,1,3
59,2,3,2,3.01,3.84,1,2,3
60,2,4,2,3.2,3.96,1,2,4
61,2,4,1,5.58,6.37,2,1,4
62,2,3,3,2.81,3.6,1,2,3
63,1,4,1,4.52,5.29,1,1,4
64,1,4,4,3.9,3.9,1,1,4
65,1,4,3,3.38,4.13,2,2,4
66,2,3,2,2.95,3.56,1,2,3
67,1,4,1,2.77,3.71,1,1,4
68,1,3,3,4.58,5.54,1,1,3
69,1,3,4,4.46,4.46,2,2,3
70,2,4,3,2.38,3.12,2,1,4
71,1,3,3,3.94,4.72,1,1,3
72,1,4,4,3.95,3.95,1,1,4
73,1,3,2,3.27,4.1,2,2,3
74,2,3,4,1.51,6.3,2,1,3
75,2,3,1,3.37,4.09,2,1,3
76,2,4,3,4.83,7.63,2,1,4
77,2,4,4,5.35,5.35,1,2,4
78,2,3,,1.81,,4,1,3
79,2,3,3,2.6,3.33,1,2,3
80,2,4,,1.54,,4,1,4
81,1,3,3,3.97,4.08,1,1,3
82,2,3,,1.55,,4,1,3
83,1,4,3,2.69,2.95,2,2,4
84,2,4,2,2.76,3.48,1,2,4
85,1,3,,1.55,,4,2,3
86,2,3,2,3.11,3.9,1,2,3
87,2,4,4,1.55,3.27,1,2,4
88,2,3,3,3.92,4.7,1,2,3
89,2,4,4,4.67,4.67,1,2,4
90,1,4,2,5.58,6.43,2,2,4
91,1,3,1,2.13,2.92,1,1,3
