trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,4,3.11,4.22,2,1,3
2,1,3,1,3.73,4.65,1,1,3
3,2,4,2,4.07,5.18,1,2,4
4,2,3,4,2.83,4.07,2,1,3
5,1,3,3,3.26,4.37,1,1,3
6,1,3,3,2.01,2.71,1,1,3
7,1,3,1,3.74,4.43,1,1,3
8,1,3,3,3.45,4.02,1,1,3
9,2,3,3,6.59,7.25,1,2,3
10,1,4,3,3.95,4.75,2,2,4
11,2,4,4,3.02,3.71,1,2,4
12,1,3,4,2.34,2.96,2,2,3
13,2,3,3,7.46,8.17,1,2,3
14,2,3,3,3.12,3.7,1,2,3
15,1,3,3,5.6,6.42,1,1,3
16,1,4,4,4.7,5.79,1,1,4
17,1,4,4,5.7,6.76,1,1,4
18,2,3,1,2.07,2.62,2,1,3
19,1,4,4,2.19,3.12,1,1,4
20,2,4,3,3.51,4.15,2,1,4
21,1,3,3,6.05,6.18,1,1,3
22,1,3,4,2.92,3.53,2,2,3
23,2,3,2,2.09,2.77,1,2,3
24,1,4,3,2.52,3.2,2,2,4
25,2,3,3,7.36,8.05,1,2,3
26,1,3,3,4.16,4.76,1,1,3
27,2,4,3,4.45,5.1,2,1,4
28,2,3,3,3.28,3.88,1,2,3
29,1,3,1,3.05,3.64,1,1,3
30,2,4,4,4.35,5.3,1,2,4
31,2,4,2,3.06,3.65,1,2,4
32,2,3,3,2.26,2.88,1,2,3
33,2,3,3,3.03,3.68,1,2,3
34,2,3,3,3.01,3.6,1,2,3
35,1,3,3,2.8,3.43,1,1,3
36,1,4,4,3.38,4.28,1,1,4
37,2,4,4,3.09,3.7,1,2,4
38,1,3,3,7.14,7.75,1,1,3
39,1,3,4,2.54,3.09,2,2,3
40,1,3,3,2.75,3.33,1,1,3
41,1,4,4,2.99,3.98,1,1,4
42,1,3,3,4.2,4.84,1,1,3
43,1,3,3,4.08,4.65,1,1,3
44,1,3,3,3.85,4.41,1,1,3
45,1,3,3,3.35,3.95,1,1,3
46,2,4,2,2.82,3.39,1,2,4
47,1,4,3,2.41,3.02,2,2,4
48,1,3,3,2.3,2.84,1,1,3
49,1,4,4,5.29,6.29,1,1,4
50,1,3,3,5.18,5.78,1,1,3
51,1,3,3,3.26,3.83,1,1,3
52,1,3,3,4.77,5.64,1,1,3
53,2,3,3,9.27,9.97,1,2,3
54,1,3,3,6.87,10.63,1,1,3
55,2,3,2,9.17,9.8,1,2,3
56,2,4,4,9.73,10.35,1,2,4
57,1,4,3,4.02,4.79,2,2,4
58,1,3,3,4.44,5.07,1,1,3
59,1,3,4,3.95,4.63,2,2,3
60,1,4,4,2.73,3.36,1,1,4
61,1,4,4,5.15,6.21,1,1,4
62,1,3,3,2.75,3.41,1,1,3
63,1,3,4,4.97,5.65,2,2,3
64,1,3,3,2.51,3.2,1,1,3
65,2,4,1,4.66,5.32,2,1,4
66,2,4,4,5.41,6.11,1,2,4
67,2,4,2,7.76,8.43,1,2,4
68,1,3,4,2.39,3.58,2,2,3
69,2,3,3,2.19,2.92,1,2,3
70,2,3,3,3.3,5.21,1,2,3
71,1,3,1,2.65,3.27,1,1,3
72,1,3,3,2.3,3.01,1,1,3
73,2,4,2,3.2,3.83,1,2,4
74,1,4,4,5.49,6.55,1,1,4
75,1,3,3,2.97,3.66,1,1,3
76,1,4,4,3.47,4.2,1,1,4
77,2,4,4,3.26,4.24,1,2,4
78,2,4,2,2.8,3.52,1,2,4
79,1,3,4,2.37,3.01,2,2,3
80,2,4,4,5.73,6.93,1,2,4
