trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,4,2,3.01,4.61,1,2,4
2,2,3,4,3.66,4.33,2,1,3
3,2,4,3,3.65,4.62,2,1,4
4,2,4,2,4.62,5.43,1,2,4
5,2,4,3,2.91,3.47,2,1,4
6,1,4,2,2.38,3.15,2,2,4
7,2,4,4,3.07,3.88,1,2,4
8,2,3,3,8.03,8.75,1,2,3
9,2,3,4,3.21,3.78,2,1,3
10,1,3,1,2.55,3.24,1,1,3
11,1,4,4,3.19,4.12,1,1,4
12,2,3,3,3.2,3.78,1,2,3
13,2,4,4,3.59,4.33,1,2,4
14,1,3,4,2.75,3.49,2,2,3
15,2,4,3,3.19,3.85,2,1,4
16,1,4,4,2.67,3.28,1,1,4
17,1,3,1,3.09,3.68,1,1,3
18,1,3,1,3.51,4.14,1,1,3
19,2,4,1,2.19,2.8,2,1,4
20,2,3,2,2.65,3.37,1,2,3
21,1,4,3,8.53,9.14,2,2,4
22,2,3,3,4.35,4.98,1,2,3
23,1,4,4,3.06,3.74,1,1,4
24,2,3,4,3.52,4.16,2,1,3
25,2,3,3,2.33,2.96,1,2,3
26,1,3,4,4.34,5.01,2,2,3
27,2,4,4,3,3.61,1,2,4
28,1,3,3,2.64,3.26,1,1,3
29,1,4,4,2.94,3.61,1,1,4
30,2,3,3,2.51,3.12,1,2,3
31,1,4,1,2.27,2.93,1,1,4
32,1,4,2,3.28,3.86,2,2,4
33,1,3,3,3.47,4.12,1,1,3
34,1,4,4,4.16,4.78,1,1,4
35,2,4,4,2.45,3.13,1,2,4
36,1,3,4,3.62,4.21,2,2,3
37,1,4,3,2.09,2.67,2,2,4
38,1,3,2,3.18,3.87,2,2,3
39,1,3,3,2.78,3.36,1,1,3
40,1,4,2,3.7,4.23,2,2,4
41,1,3,4,3.24,3.85,2,2,3
42,1,4,2,2.54,3.08,2,2,4
43,1,4,3,2.95,3.58,2,2,4
44,1,4,1,5.62,6.95,1,1,4
45,2,3,1,2.59,3.18,2,1,3
46,2,4,3,8.44,9.13,2,1,4
47,2,3,4,3.38,4.05,2,1,3
48,1,3,3,3.73,4.47,1,1,3
49,2,3,4,2.69,3.54,2,1,3
50,1,3,3,5.93,6.62,1,1,3
51,1,3,4,2.73,3.51,2,2,3
52,1,4,4,4.4,5.09,1,1,4
53,1,3,2,4.29,4.96,2,2,3
54,2,3,4,6.91,7.79,2,1,3
55,2,4,3,6.53,7.17,2,1,4
56,2,4,3,2.44,3.05,2,1,4
57,2,4,4,2.27,2.94,1,2,4
58,2,4,3,2.71,3.35,2,1,4
59,2,3,4,2.79,3.46,2,1,3
60,2,4,3,2.7,3.34,2,1,4
61,1,3,1,4.94,5.84,1,1,3
62,1,4,3,2.76,3.36,2,2,4
63,2,4,,,,3,1,4
64,1,3,3,2.47,3.23,1,1,3
65,1,4,3,3.01,3.69,2,2,4
66,1,3,4,2.41,3.08,2,2,3
67,2,3,2,4.91,5.7,1,2,3
68,2,3,4,2.05,2.75,2,1,3
69,1,4,2,3.17,3.92,2,2,4
70,2,3,3,2.26,2.96,1,2,3
71,2,3,4,3.33,4.13,2,1,3
72,1,4,3,2.6,3.31,2,2,4
73,2,3,3,2.97,3.64,1,2,3
74,2,4,4,3.15,3.84,1,2,4
75,2,3,3,3.95,4.56,1,2,3
76,2,4,4,3.22,3.85,1,2,4
77,1,4,4,3.73,4.35,1,1,4
78,1,3,3,4.23,4.85,1,1,3
79,2,4,4,3.69,4.53,1,2,4
80,2,4,4,2.18,2.89,1,2,4
81,1,4,1,2.45,3.14,1,1,4
82,1,3,4,3.16,4.44,2,2,3
83,1,3,3,2.33,2.97,1,1,3
84,2,4,3,4.11,4.76,2,1,4
85,2,4,3,3.27,3.9,2,1,4
86,1,4,4,3.09,3.82,1,1,4
87,1,3,4,4.85,5.6,2,2,3
88,2,4,3,4.38,5.08,2,1,4
89,1,3,1,2.59,3.34,1,1,3
90,1,3,4,2.55,3.28,2,2,3
91,2,4,,,,3,1,4
92,1,4,4,3.23,4.13,1,1,4
93,1,4,1,2.32,3.11,1,1,4
94,2,4,3,3.8,4.82,2,1,4
95,2,3,4,7.14,7.92,2,1,3
96,1,4,4,2.96,3.64,1,1,4
97,1,3,3,3.19,3.92,1,1,3
98,2,4,2,2.95,3.69,1,2,4
99,2,3,2,5.18,5.89,1,2,3
100,1,4,3,4.91,5.64,2,2,4
101,2,4,4,8.05,9.87,1,2,4
102,2,4,,,,3,1,4
103,2,4,1,4.2,5.14,2,1,4
