trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,1,2.08,2.82,1,1,4
2,2,4,4,2.24,3.73,1,2,4
3,2,3,1,3.04,3.64,2,1,3
4,2,3,4,2.69,3.92,2,1,3
5,1,3,2,2.59,3.65,2,2,3
6,1,3,1,1.98,2.57,1,1,3
7,1,3,1,5.12,5.68,1,1,3
8,2,4,4,3.06,3.99,1,2,4
9,1,3,1,2.85,3.45,1,1,3
10,1,4,4,2.25,3.46,1,1,4
11,1,4,4,2.6,3.81,1,1,4
12,1,3,3,3,4.23,1,1,3
13,2,3,4,2.45,3.37,2,1,3
14,2,4,4,3.09,4.8,1,2,4
15,1,3,2,2.92,3.57,2,2,3
16,1,4,3,2.22,3.03,2,2,4
17,1,3,1,2.49,3.13,1,1,3
18,1,3,4,3.03,3.9,2,2,3
19,1,4,3,2.17,2.96,2,2,4
20,2,3,4,2.86,4.7,2,1,3
21,1,4,3,2.65,3.38,2,2,4
22,2,4,4,2.25,3.26,1,2,4
23,2,4,4,2.44,4.11,1,2,4
24,2,3,4,1.96,3.97,2,1,3
25,1,4,4,2.46,3.2,1,1,4
26,2,3,1,3.69,4.24,2,1,3
27,1,3,2,3.02,3.64,2,2,3
28,1,4,4,5,6.27,1,1,4
29,1,4,1,2.09,2.68,1,1,4
30,1,4,4,2.63,3.75,1,1,4
31,2,4,3,2.32,3.23,2,1,4
32,1,4,3,3.2,4.08,2,2,4
33,2,3,2,2.3,2.92,1,2,3
34,2,3,2,3.89,4.54,1,2,3
35,2,3,1,3.33,4.04,2,1,3
36,2,3,2,6.55,7.23,1,2,3
37,2,3,2,3.23,3.86,1,2,3
38,1,4,4,2.76,3.64,1,1,4
39,2,4,2,3.07,3.7,1,2,4
40,2,3,4,2.18,2.98,2,1,3
41,2,4,2,2.08,2.75,1,2,4
42,1,3,3,3.78,4.71,1,1,3
43,1,4,3,2.18,2.9,2,2,4
44,1,3,3,2.43,4.15,1,1,3
45,1,3,4,4.31,5.63,2,2,3
46,2,3,2,2.49,3.12,1,2,3
47,1,4,4,3.03,5.23,1,1,4
48,1,3,1,2.54,3.08,1,1,3
49,2,4,3,2.79,3.79,2,1,4
50,1,4,4,2.56,3.69,1,1,4
51,1,3,,8.31,,4,2,3
52,1,3,3,3.82,5.76,1,1,3
53,1,4,4,2.55,4.69,1,1,4
54,1,4,4,2.19,4.03,1,1,4
55,2,4,,2.89,,4,1,4
56,2,4,4,2.68,5.62,1,2,4
57,2,3,3,2.78,4.76,1,2,3
58,2,4,2,2.39,2.94,1,2,4
59,2,4,4,2.31,5.16,1,2,4
60,2,3,1,2.57,3.24,2,1,3
61,2,4,4,2.92,3.78,1,2,4
62,2,4,4,3.96,4.74,1,2,4
63,1,3,1,2.47,3.02,1,1,3
64,2,4,3,2.47,4.72,2,1,4
65,1,4,1,3.01,3.56,1,1,4
66,2,3,2,3.48,4.14,1,2,3
67,2,4,1,2.66,3.23,2,1,4
68,1,3,3,2.91,3.67,1,1,3
69,2,4,2,2.73,3.32,1,2,4
70,2,3,3,2.3,3.13,1,2,3
71,2,4,3,2.25,2.99,2,1,4
72,2,3,2,6.85,7.51,1,2,3
73,1,4,4,2.83,8.66,1,1,4
74,1,3,3,3.37,4.18,1,1,3
75,2,4,4,2.59,3.42,1,2,4
76,2,4,4,2.16,2.98,1,2,4
77,2,3,3,2.11,8.39,1,2,3
78,1,4,4,2.13,3.9,1,1,4
79,2,3,2,5.93,6.55,1,2,3
80,1,4,1,2.9,3.54,1,1,4
81,2,4,1,2.77,3.36,2,1,4
82,2,3,3,2.46,3.3,1,2,3
83,1,3,3,3.95,4.65,1,1,3
84,2,4,4,3.15,9.43,1,2,4
85,2,3,2,5.05,5.75,1,2,3
86,2,3,3,2.37,3.07,1,2,3
87,1,3,4,2.45,6.85,2,2,3
88,2,3,4,2.42,7.96,2,1,3
89,2,4,1,2.67,3.33,2,1,4
90,2,4,4,2.39,3.22,1,2,4
91,2,3,2,4.2,4.79,1,2,3
92,1,4,4,3.21,4.07,1,1,4
93,1,4,4,2.89,7.78,1,1,4
94,1,3,1,6.64,7.53,1,1,3
95,2,4,4,3.84,4.72,1,2,4
96,2,4,3,2.26,3.29,2,1,4
97,2,3,2,7.07,7.67,1,2,3
98,1,4,1,4.11,4.73,1,1,4
99,2,3,3,2.79,3.74,1,2,3
100,1,4,4,2.98,3.88,1,1,4
101,1,3,1,3.42,4.04,1,1,3
102,2,4,4,3.29,4.19,1,2,4
