trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,,,,3,2,4
2,1,4,3,6.32,7.68,2,2,4
3,1,4,2,4,5.93,2,2,4
4,1,3,1,2.43,3.28,1,1,3
5,1,3,3,4.93,5.65,1,1,3
6,1,4,4,9.79,11.68,1,1,4
7,2,4,1,3.81,5.07,2,1,4
8,2,3,2,2.82,3.64,1,2,3
9,1,3,,,,3,2,3
10,2,3,4,3.86,5.08,2,1,3
11,1,3,1,2.65,3.38,1,1,3
12,2,3,3,5.21,6.32,1,2,3
13,2,3,,,,3,1,3
14,2,3,3,4.68,5.28,1,2,3
15,2,3,4,2.5,3.91,2,1,3
16,1,4,3,2.98,3.95,2,2,4
17,1,4,4,2.06,2.69,1,1,4
18,2,3,4,2.19,2.93,2,1,3
19,1,4,3,3.06,3.82,2,2,4
20,1,4,2,2.33,3.08,2,2,4
21,2,4,4,3.36,4.02,1,2,4
22,1,3,3,4.78,5.51,1,1,3
23,2,3,4,2.73,3.39,2,1,3
24,1,4,1,2.51,3.25,1,1,4
25,1,3,3,2.77,3.61,1,1,3
26,2,4,2,2.42,3.13,1,2,4
27,2,3,1,3.07,3.71,2,1,3
28,2,4,3,2.84,3.67,2,1,4
29,2,3,1,3.78,4.67,2,1,3
30,2,4,4,3.33,4.36,1,2,4
31,2,3,4,2.98,3.61,2,1,3
32,1,3,3,3.03,3.98,1,1,3
33,2,4,3,3.75,4.72,2,1,4
34,1,4,4,2.63,5.84,1,1,4
35,1,4,3,5.84,6.75,2,2,4
36,2,4,4,3.51,4.19,1,2,4
37,2,3,1,3.85,4.66,2,1,3
38,1,3,2,3.14,3.87,2,2,3
39,2,3,4,3.6,4.59,2,1,3
40,2,3,2,3.17,3.89,1,2,3
41,2,4,4,2.76,3.71,1,2,4
42,2,3,3,3.26,3.94,1,2,3
43,2,4,4,3.47,4.11,1,2,4
44,1,4,,,,3,2,4
45,1,4,4,8.16,8.8,1,1,4
46,2,4,3,2.87,3.65,2,1,4
47,1,3,4,3.23,3.93,2,2,3
48,2,4,4,2.16,2.87,1,2,4
49,1,4,4,2.25,2.85,1,1,4
50,2,3,2,2.65,3.34,1,2,3
51,2,3,4,2.54,3.53,2,1,3
52,1,3,1,5.96,6.98,1,1,3
53,1,4,4,3.18,4.05,1,1,4
54,2,4,2,3.92,4.66,1,2,4
55,1,3,1,2.64,3.87,1,1,3
56,2,3,2,5.39,6.14,1,2,3
57,1,3,1,4.54,5.15,1,1,3
58,2,3,3,2.34,3.47,1,2,3
59,1,3,3,7,7.7,1,1,3
60,2,3,,,,3,1,3
61,1,3,3,2.66,3.76,1,1,3
62,1,4,4,5.33,6.67,1,1,4
63,1,4,4,2.22,2.83,1,1,4
64,1,4,3,3.47,4.34,2,2,4
65,1,3,3,5.06,5.73,1,1,3
66,1,4,4,2.83,4.97,1,1,4
67,2,4,2,5.76,6.45,1,2,4
68,1,3,3,8.49,9.34,1,1,3
69,1,4,,,,3,2,4
70,2,4,4,2.54,3.91,1,2,4
71,2,4,2,2.96,3.67,1,2,4
72,2,4,4,2.76,3.66,1,2,4
73,1,4,1,3.18,3.84,1,1,4
74,1,3,2,3.06,4.21,2,2,3
75,2,4,,,,3,1,4
76,2,3,4,3.39,4.03,2,1,3
77,2,4,,,,3,1,4
78,2,3,3,4.18,5.52,1,2,3
79,1,3,3,8.56,9.32,1,1,3
80,1,3,1,4.05,5.11,1,1,3
81,1,3,,,,3,2,3
82,2,3,2,2.43,3.6,1,2,3
83,2,4,,,,3,1,4
84,1,4,,,,3,2,4
85,2,4,4,3.42,4.29,1,2,4
86,1,3,1,2.68,3.49,1,1,3
87,1,4,4,3.48,4.35,1,1,4
88,1,4,4,2.16,2.81,1,1,4
89,2,3,4,3.01,3.79,2,1,3
90,1,4,2,4.66,5.72,2,2,4
91,2,3,3,2.53,3.53,1,2,3
92,1,4,4,2.76,4.82,1,1,4
93,2,4,3,5.28,6.21,2,1,4
94,2,3,,,,3,1,3
95,2,3,2,3.06,4.03,1,2,3
96,1,3,4,3.83,4.72,2,2,3
97,1,3,2,3.07,4.24,2,2,3
98,1,3,4,3.09,4.04,2,2,3
99,1,3,1,5.56,6.18,1,1,3
100,1,4,,7.08,,4,2,4
101,2,3,,,,3,1,3
102,1,4,,9.2,,4,2,4
103,1,4,,2.51,,4,2,4
104,2,4,4,7.49,8.85,1,2,4
105,1,4,4,5.23,7.14,1,1,4
106,1,3,,8.36,,4,2,3
107,2,3,,4.04,,4,1,3
108,2,3,,5.16,,4,1,3
109,2,3,,4.36,,4,1,3
110,2,4,4,6,7.15,1,2,4
