trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,2,4.03,5.69,2,2,4
2,2,4,,2.33,,4,1,4
3,1,3,3,3.26,4.43,1,1,3
4,2,4,1,2.18,3.47,2,1,4
5,1,4,1,5.38,6.39,1,1,4
6,2,3,3,3.48,4.29,1,2,3
7,2,3,3,2.91,3.63,1,2,3
8,2,3,3,4.18,4.95,1,2,3
9,1,4,4,3.07,4.17,1,1,4
10,1,4,3,2.93,3.69,2,2,4
11,1,3,3,2.16,2.9,1,1,3
12,1,3,2,3.28,4.34,2,2,3
13,2,4,2,2.97,3.8,1,2,4
14,2,3,1,2.95,3.84,2,1,3
15,2,3,3,2.27,3.06,1,2,3
16,2,4,4,2.37,3.11,1,2,4
17,2,3,3,4.58,5.2,1,2,3
18,1,3,3,2.98,3.54,1,1,3
19,1,4,3,2.73,3.39,2,2,4
20,1,3,2,3.35,4.05,2,2,3
21,1,3,2,6.52,7.24,2,2,3
22,1,4,4,2.66,4.32,1,1,4
23,1,4,3,3.21,3.84,2,2,4
24,1,4,4,4.24,5.58,1,1,4
25,1,3,3,2.53,3.19,1,1,3
26,2,3,4,3.17,3.78,2,1,3
27,1,4,4,4.14,5.59,1,1,4
28,1,4,3,3.74,4.71,2,2,4
29,1,4,3,4.22,4.87,2,2,4
30,1,4,4,2.9,4.21,1,1,4
31,1,4,3,3.2,4.08,2,2,4
32,1,4,4,3.36,4.66,1,1,4
33,1,3,3,2.44,3.01,1,1,3
34,2,4,4,2.53,4.09,1,2,4
35,1,3,3,3.1,4,1,1,3
36,2,4,4,2.7,3.4,1,2,4
37,1,4,4,3.16,3.92,1,1,4
38,2,4,3,2.45,3.03,2,1,4
39,1,3,3,6.29,7.08,1,1,3
40,2,4,4,2.58,3.24,1,2,4
41,1,3,3,4.07,4.93,1,1,3
42,1,4,4,2.4,3.9,1,1,4
43,1,3,4,2.72,3.26,2,2,3
44,1,4,4,2.74,4.14,1,1,4
45,2,4,4,2.22,3.73,1,2,4
46,1,3,3,2.83,3.53,1,1,3
47,1,3,3,3.04,3.69,1,1,3
48,2,3,3,2.87,3.56,1,2,3
49,1,4,4,2.74,4.31,1,1,4
50,2,4,4,4.22,5.26,1,2,4
51,2,3,3,2.46,3.13,1,2,3
52,2,3,3,3.13,3.81,1,2,3
53,1,3,4,2.25,3.64,2,2,3
54,1,3,3,2.75,3.3,1,1,3
55,2,3,3,2.25,2.81,1,2,3
56,1,3,3,4.69,5.66,1,1,3
57,2,4,4,3.25,4.14,1,2,4
58,1,4,4,2.37,3.15,1,1,4
59,1,4,3,3.74,4.47,2,2,4
60,2,4,3,3.03,4.09,2,1,4
61,1,3,3,2.86,3.56,1,1,3
62,1,3,3,4.68,5.49,1,1,3
63,2,4,4,3.15,3.84,1,2,4
64,2,4,3,3.76,4.43,2,1,4
65,2,3,3,2.29,2.98,1,2,3
66,1,4,4,3.02,4.54,1,1,4
67,1,4,2,3.6,4.54,2,2,4
68,2,3,1,2.27,3.09,2,1,3
69,1,3,3,2.51,3.19,1,1,3
70,1,4,1,3.13,3.74,1,1,4
71,2,4,,,,3,1,4
72,1,3,1,3.19,4.07,1,1,3
73,1,4,4,2.81,3.49,1,1,4
74,1,4,1,2.96,3.71,1,1,4
75,1,3,3,2.83,3.45,1,1,3
76,1,3,3,2.47,3.16,1,1,3
77,1,4,1,5.5,6.47,1,1,4
78,2,4,2,3.03,3.83,1,2,4
79,2,3,3,2.23,2.93,1,2,3
80,2,4,2,3.22,3.86,1,2,4
81,2,4,1,2.37,2.97,2,1,4
82,2,4,2,4.66,5.58,1,2,4
83,2,4,3,3.2,3.99,2,1,4
84,1,4,1,2.95,3.6,1,1,4
85,1,4,4,4.41,5.15,1,1,4
86,2,3,3,2.99,3.7,1,2,3
87,2,4,2,6.98,7.74,1,2,4
88,1,3,3,4.49,5.22,1,1,3
89,1,4,1,4.58,5.67,1,1,4
90,1,3,,,,3,2,3
91,2,3,2,5.07,5.83,1,2,3
92,1,4,1,4.3,4.94,1,1,4
93,1,3,1,2.12,3.08,1,1,3
94,1,4,1,7.09,7.88,1,1,4
95,2,3,1,5.84,7,2,1,3
96,1,3,3,2.54,3.34,1,1,3
97,2,3,3,5.77,6.56,1,2,3
98,2,3,3,4.8,5.55,1,2,3
99,2,3,3,4.25,4.95,1,2,3
100,1,3,4,3.25,4.18,2,2,3
101,1,4,,,,3,2,4
102,2,3,3,2.51,3.24,1,2,3
103,2,3,2,4.45,5.17,1,2,3
104,1,4,1,3.83,4.54,1,1,4
