trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,3,3.76,5.13,1,1,3
2,2,3,4,8.19,9.1,2,1,3
3,2,4,4,2.51,3.39,1,2,4
4,2,4,1,7.61,10.15,2,1,4
5,1,4,3,3.22,4.13,2,2,4
6,2,4,3,4.77,5.48,2,1,4
7,1,3,2,2.91,4.37,2,2,3
8,1,4,1,2.82,3.72,1,1,4
9,2,4,3,5.62,6.36,2,1,4
10,1,3,3,3.79,4.48,1,1,3
11,2,3,2,2.93,3.94,1,2,3
12,1,4,1,3.03,3.84,1,1,4
13,2,4,4,3.87,4.69,1,2,4
14,1,4,3,3.79,4.6,2,2,4
15,1,4,3,6.38,7.15,2,2,4
16,1,4,1,7.1,7.98,1,1,4
17,2,4,1,2.87,3.57,2,1,4
18,2,4,4,2.5,3.31,1,2,4
19,2,4,3,5.07,5.8,2,1,4
20,1,4,,,,3,2,4
21,1,4,3,4.04,4.69,2,2,4
22,1,4,2,3.18,3.97,2,2,4
23,2,4,1,5.98,6.77,2,1,4
24,2,4,4,5.31,6.2,1,2,4
25,2,4,2,2.31,3.06,1,2,4
26,1,3,3,3.01,3.76,1,1,3
27,1,3,1,2.14,2.85,1,1,3
28,1,4,4,4.99,5.68,1,1,4
29,2,4,1,3.07,3.74,2,1,4
30,2,3,3,2.51,3.31,1,2,3
31,2,3,2,2.57,3.3,1,2,3
32,2,4,4,4.37,4.92,1,2,4
33,1,4,3,3.04,3.88,2,2,4
34,1,4,1,6.64,7.39,1,1,4
35,2,3,1,3.58,4.33,2,1,3
36,2,3,2,2.29,3.02,1,2,3
37,1,4,1,5.79,6.6,1,1,4
38,2,3,3,5.18,6.01,1,2,3
39,2,3,4,3.25,4.1,2,1,3
40,2,3,3,5.4,6.07,1,2,3
41,2,4,2,4.54,5.24,1,2,4
42,2,4,2,4.48,5.15,1,2,4
43,1,3,1,4.27,5.16,1,1,3
44,1,4,4,3.54,4.49,1,1,4
45,2,4,1,4.58,5.37,2,1,4
46,2,3,4,3.8,4.45,2,1,3
47,1,3,3,6.45,7.34,1,1,3
48,2,4,2,4.14,4.92,1,2,4
49,2,3,4,4.87,5.63,2,1,3
50,2,4,4,6.15,7.12,1,2,4
51,2,3,1,1.93,2.62,2,1,3
52,1,3,2,2.29,3,2,2,3
53,2,4,1,7.34,8.15,2,1,4
54,2,4,4,3,3.7,1,2,4
55,1,4,1,10.46,11.14,1,1,4
56,2,3,2,5.55,6.24,1,2,3
57,1,3,4,5.48,6.26,2,2,3
58,2,3,1,3.34,4.04,2,1,3
59,1,4,1,3.45,4.24,1,1,4
60,1,4,2,4.88,5.64,2,2,4
61,2,4,1,3.32,3.98,2,1,4
62,2,3,3,2.32,3.26,1,2,3
63,1,4,1,2.04,2.7,1,1,4
64,1,3,3,4.4,5.37,1,1,3
65,1,4,2,2.73,3.48,2,2,4
66,1,3,,,,3,2,3
67,2,4,4,6.51,7.48,1,2,4
68,1,4,2,3.1,3.81,2,2,4
69,2,3,1,3,3.67,2,1,3
70,1,3,1,2.54,3.22,1,1,3
71,2,3,2,3.39,4.05,1,2,3
72,1,3,4,4.18,4.92,2,2,3
73,2,4,2,2.24,3.04,1,2,4
74,1,3,3,3.96,4.79,1,1,3
75,1,3,4,4.63,5.4,2,2,3
76,2,4,3,3.47,4.11,2,1,4
77,2,4,4,2.47,3.25,1,2,4
78,1,4,1,5.8,6.58,1,1,4
79,2,4,2,2.73,3.51,1,2,4
80,1,4,1,3.1,3.89,1,1,4
81,1,3,3,9.06,10,1,1,3
82,1,3,1,2.41,3.14,1,1,3
83,1,3,3,4.54,5.71,1,1,3
84,2,3,1,2.32,3.03,2,1,3
85,2,3,1,3.95,4.89,2,1,3
86,1,4,2,4.93,5.65,2,2,4
87,2,3,,8.07,,4,1,3
88,1,3,1,2.05,2.76,1,1,3
