trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,,,,3,2,4
2,2,4,4,2.36,3.85,1,2,4
3,2,3,2,2.74,5.32,1,2,3
4,1,4,3,7.46,8.57,2,2,4
5,2,4,3,2.89,3.67,2,1,4
6,2,3,4,3.95,4.8,2,1,3
7,1,4,1,3.38,5.01,1,1,4
8,2,4,,,,3,1,4
9,1,4,2,4.81,6.93,2,2,4
10,1,4,3,2.91,3.81,2,2,4
11,2,3,3,2.28,7.34,1,2,3
12,1,3,4,3.53,5.48,2,2,3
13,1,3,3,3.73,4.5,1,1,3
14,2,3,3,10.13,10.85,1,2,3
15,1,4,4,7.93,8.57,1,1,4
16,2,4,3,3.1,8.85,2,1,4
17,2,3,3,3.59,4.32,1,2,3
18,1,3,,,,3,2,3
19,2,4,4,2.1,2.8,1,2,4
20,1,3,3,2.36,3.07,1,1,3
21,1,3,3,3.71,4.44,1,1,3
22,1,3,3,3.21,4.03,1,1,3
23,1,4,3,2.82,3.75,2,2,4
24,2,3,3,4.43,5.14,1,2,3
25,1,4,3,3.05,3.86,2,2,4
26,1,3,3,3.98,4.74,1,1,3
27,1,4,4,7.33,8.14,1,1,4
28,1,3,3,3.6,4.39,1,1,3
29,2,4,4,2.33,3.09,1,2,4
30,2,4,4,3.4,4.86,1,2,4
31,2,3,3,4.26,4.96,1,2,3
32,2,4,4,3.26,4.75,1,2,4
33,1,4,3,2.66,3.44,2,2,4
34,1,4,4,8.8,9.49,1,1,4
35,2,4,3,2.28,3.02,2,1,4
36,1,4,1,9.72,11.23,1,1,4
37,1,3,3,3.7,4.43,1,1,3
38,2,3,4,2.26,2.98,2,1,3
39,1,3,3,4.73,5.44,1,1,3
40,2,4,4,2.56,3.15,1,2,4
41,2,3,3,2.52,3.19,1,2,3
42,2,3,3,3.42,4.13,1,2,3
43,2,3,3,2.94,3.67,1,2,3
44,1,4,4,2.06,3.79,1,1,4
45,1,4,4,5.63,6.25,1,1,4
46,1,3,1,3.22,4.09,1,1,3
47,1,4,4,3.2,3.87,1,1,4
48,2,3,3,2.81,3.46,1,2,3
49,1,3,3,2.16,2.74,1,1,3
50,2,3,3,3.66,4.38,1,2,3
51,1,4,4,4.31,5.22,1,1,4
52,2,4,4,6.03,7.71,1,2,4
53,1,4,4,6.02,7.52,1,1,4
54,2,4,4,2.97,3.63,1,2,4
55,1,3,4,3.2,4.78,2,2,3
56,1,4,2,2.46,8.97,2,2,4
57,2,4,4,2.81,4.43,1,2,4
58,1,3,1,3.01,3.82,1,1,3
59,2,3,3,3.61,4.33,1,2,3
60,2,4,4,2.91,3.68,1,2,4
61,1,3,3,2.51,3.12,1,1,3
62,1,3,3,4.35,5.13,1,1,3
63,2,3,3,4,4.69,1,2,3
64,1,3,3,2.33,3.03,1,1,3
65,1,3,4,2.72,3.54,2,2,3
66,2,4,3,2.44,3.22,2,1,4
67,1,4,3,2.45,3.32,2,2,4
68,1,3,3,2.41,3.17,1,1,3
69,1,3,3,2.74,3.36,1,1,3
70,2,3,4,3.15,3.9,2,1,3
71,2,3,3,3.06,3.86,1,2,3
72,2,3,3,4.04,4.79,1,2,3
73,1,3,3,2.49,3.18,1,1,3
74,2,4,4,3.08,3.87,1,2,4
75,2,3,3,5.23,6.08,1,2,3
76,2,3,,,,3,1,3
77,1,4,4,2.39,3.17,1,1,4
78,2,4,4,2.27,2.96,1,2,4
79,2,4,4,3.3,4.23,1,2,4
80,2,4,4,2.03,2.83,1,2,4
81,2,4,2,9.23,11.34,1,2,4
82,2,3,3,3.9,4.73,1,2,3
83,2,3,3,5.33,6.06,1,2,3
84,1,3,3,3.18,3.86,1,1,3
85,2,4,4,2.85,3.7,1,2,4
86,1,4,3,2.99,3.77,2,2,4
87,2,4,4,4.48,5.13,1,2,4
88,2,4,4,2.12,2.79,1,2,4
89,1,3,3,7.95,8.73,1,1,3
