trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,4,2,3.06,9.66,1,2,4
2,1,4,3,3.21,4.15,2,2,4
3,2,4,1,2.97,3.95,2,1,4
4,2,4,4,4.09,4.97,1,2,4
5,2,4,4,2.84,6.09,1,2,4
6,1,4,4,2.23,2.88,1,1,4
7,2,3,3,4.66,5.76,1,2,3
8,2,4,4,3.03,4.48,1,2,4
9,1,3,3,5.51,6.45,1,1,3
10,2,4,4,2.05,2.91,1,2,4
11,2,4,3,3.12,3.79,2,1,4
12,1,4,4,4.13,4.77,1,1,4
13,1,4,4,2.52,3.21,1,1,4
14,1,3,4,2.6,3.28,2,2,3
15,1,3,3,2.84,3.47,1,1,3
16,2,3,4,2.22,2.89,2,1,3
17,2,4,4,2.74,3.38,1,2,4
18,2,3,4,3.02,3.66,2,1,3
19,1,3,3,3.09,3.8,1,1,3
20,1,4,4,2.26,2.91,1,1,4
21,1,4,4,1.95,2.97,1,1,4
22,2,4,3,2.79,3.4,2,1,4
23,2,4,2,3.49,6.48,1,2,4
24,2,3,4,3.55,4.29,2,1,3
25,2,3,4,4,4.6,2,1,3
26,2,3,4,3.88,4.6,2,1,3
27,2,4,4,4.38,5.07,1,2,4
28,2,3,4,3.19,4.17,2,1,3
29,2,3,3,2.16,2.82,1,2,3
30,1,4,1,3.36,4.12,1,1,4
31,1,4,,,,3,2,4
32,2,4,4,2.75,3.36,1,2,4
33,2,4,,,,3,1,4
34,1,3,3,2.34,2.95,1,1,3
35,1,3,4,2.26,2.96,2,2,3
36,2,4,3,5.48,6.06,2,1,4
37,1,3,3,6.84,7.76,1,1,3
38,2,4,4,6.65,7.32,1,2,4
39,2,3,3,4.84,5.49,1,2,3
40,1,4,3,3.89,4.51,2,2,4
41,1,4,4,2.52,3.53,1,1,4
42,1,3,3,2.39,3.01,1,1,3
43,1,4,4,3.57,4.23,1,1,4
44,1,3,4,2.59,3.46,2,2,3
45,1,3,4,2.37,3.27,2,2,3
46,2,3,4,3.56,4.94,2,1,3
47,2,4,4,2.25,3.73,1,2,4
48,2,4,3,3.19,3.84,2,1,4
49,2,4,4,3.48,4.72,1,2,4
50,1,4,4,2.05,3,1,1,4
51,2,4,2,3.43,5.93,1,2,4
52,2,3,4,5.15,5.99,2,1,3
53,1,3,4,2.93,3.96,2,2,3
54,2,3,4,2.71,4.14,2,1,3
55,2,3,3,3.97,4.61,1,2,3
56,2,4,4,2.92,3.6,1,2,4
57,2,3,3,4.07,4.83,1,2,3
58,1,4,4,2.66,3.28,1,1,4
59,1,4,4,3.03,3.65,1,1,4
60,1,4,3,2.92,3.57,2,2,4
61,1,4,1,2.69,4.89,1,1,4
62,2,4,4,4.08,4.97,1,2,4
63,2,3,4,5.27,6.05,2,1,3
64,1,4,1,4.61,5.72,1,1,4
65,1,3,3,7.71,8.49,1,1,3
66,1,4,4,3.95,5.15,1,1,4
67,1,3,4,2.51,3.32,2,2,3
68,1,4,4,2.92,3.59,1,1,4
69,2,3,3,1.95,3.33,1,2,3
70,2,4,1,2.13,3.02,2,1,4
71,1,3,3,4.38,5.08,1,1,3
72,2,3,3,5.37,6.05,1,2,3
73,2,3,,,,3,1,3
74,1,3,3,3.52,4.66,1,1,3
75,2,4,4,6.81,8.42,1,2,4
76,2,3,3,3.58,4.54,1,2,3
77,1,3,3,4.87,5.89,1,1,3
78,1,3,3,4.46,5.12,1,1,3
79,1,3,3,4.11,5.11,1,1,3
80,1,3,,7.04,,4,2,3
81,1,4,4,3.22,4.56,1,1,4
82,1,4,4,6.89,7.92,1,1,4
83,1,4,2,2.99,5.68,2,2,4
84,2,3,3,2.49,3.21,1,2,3
85,1,3,3,3.87,5.34,1,1,3
86,1,3,,,,3,2,3
87,1,4,4,2.72,3.81,1,1,4
88,2,4,3,3.25,4.58,2,1,4
89,2,3,,,,3,1,3
90,2,4,4,10.02,11.51,1,2,4
91,1,4,3,2.92,3.84,2,2,4
92,1,3,3,2.92,3.86,1,1,3
93,1,4,4,3.15,4.62,1,1,4
94,2,4,2,7.09,9.7,1,2,4
95,2,4,4,4.75,5.67,1,2,4
96,2,4,4,3.42,4.78,1,2,4
97,1,3,3,4.26,5.29,1,1,3
98,2,3,1,4.11,5.47,2,1,3
99,2,4,4,3.11,3.95,1,2,4
100,2,3,2,2.65,3.98,1,2,3
101,2,3,3,5.51,6.34,1,2,3
102,1,3,3,6.6,7.32,1,1,3
103,1,3,3,6.71,7.66,1,1,3
104,1,3,,,,3,2,3
105,2,3,3,6.54,7.75,1,2,3
106,1,4,4,6.81,8.35,1,1,4
107,2,3,3,6.33,7.35,1,2,3
