trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,3.3,5.59,2,2,3
2,1,3,2,3.37,4.51,2,2,3
3,1,4,4,4.37,6.28,1,1,4
4,1,3,3,4.01,5.79,1,1,3
5,1,4,4,3.31,4.47,1,1,4
6,2,4,2,3.16,3.98,1,2,4
7,1,3,2,2.6,4.34,2,2,3
8,1,3,3,3.59,4.85,1,1,3
9,1,4,3,2.94,4.29,2,2,4
10,1,4,4,2.43,3.59,1,1,4
11,1,3,2,5.97,6.77,2,2,3
12,2,3,,3.37,,4,1,3
13,1,3,3,2.89,4.57,1,1,3
14,2,3,4,3.44,4.6,2,1,3
15,1,3,4,2.07,4.07,2,2,3
16,2,4,4,4.41,6.63,1,2,4
17,1,4,2,2.75,3.49,2,2,4
18,2,3,3,2.85,3.97,1,2,3
19,2,3,3,3.61,4.7,1,2,3
20,2,4,3,3.28,4.78,2,1,4
21,2,4,4,5.13,6.13,1,2,4
22,1,4,3,3.02,4.04,2,2,4
23,1,3,3,3.65,4.67,1,1,3
24,1,4,4,2.57,3.54,1,1,4
25,2,4,4,2.56,4.03,1,2,4
26,2,3,3,4.78,5.65,1,2,3
27,2,4,4,6.08,7.16,1,2,4
28,2,3,3,3.08,4.05,1,2,3
29,2,3,3,3.89,4.92,1,2,3
30,1,4,4,4.28,5.18,1,1,4
31,1,3,3,3.12,4.1,1,1,3
32,1,3,3,7.5,8.56,1,1,3
33,1,4,2,3.8,4.57,2,2,4
34,1,3,3,4.07,5.08,1,1,3
35,1,3,4,2.73,3.92,2,2,3
36,1,3,3,4.45,5.48,1,1,3
37,1,3,4,8.14,9.12,2,2,3
38,1,4,2,2.13,3.69,2,2,4
39,1,4,4,2.95,3.92,1,1,4
40,1,3,3,2.91,3.97,1,1,3
41,2,4,4,2.58,3.54,1,2,4
42,1,4,1,4,5.13,1,1,4
43,2,4,3,4.71,5.62,2,1,4
44,1,3,3,3.45,4.44,1,1,3
45,2,4,4,6.72,7.65,1,2,4
46,2,4,1,5.9,7.25,2,1,4
47,2,3,3,5.02,6.13,1,2,3
48,2,4,3,2.68,3.57,2,1,4
49,2,3,4,2.83,3.78,2,1,3
50,2,4,2,3.19,4.31,1,2,4
51,1,3,1,3.13,4.55,1,1,3
52,1,3,4,4.31,5.33,2,2,3
53,1,3,3,2.39,3.67,1,1,3
54,2,3,,,,3,1,3
55,1,4,3,8.47,9.32,2,2,4
56,1,3,4,2.34,3.79,2,2,3
57,2,3,2,3.95,4.74,1,2,3
58,2,4,3,2.72,3.73,2,1,4
59,1,4,4,4.94,6.37,1,1,4
60,2,3,4,7.23,8.66,2,1,3
61,2,4,,,,3,1,4
62,1,3,4,3.77,4.75,2,2,3
63,2,4,4,2.81,3.62,1,2,4
64,2,3,3,2.72,3.71,1,2,3
65,1,4,,,,3,2,4
66,2,3,1,5.49,6.83,2,1,3
67,1,3,1,3.26,4.73,1,1,3
68,1,3,3,4.42,5.47,1,1,3
69,2,4,4,4.15,5.7,1,2,4
70,2,4,4,4.76,5.64,1,2,4
71,1,4,4,3.39,4.31,1,1,4
72,2,3,4,5.48,6.38,2,1,3
73,2,3,2,3.22,4.28,1,2,3
74,2,4,3,2.89,3.92,2,1,4
75,2,4,,,,3,1,4
76,2,3,3,5.67,6.75,1,2,3
77,1,3,3,3.29,4.28,1,1,3
78,1,4,4,3.55,4.58,1,1,4
79,1,3,4,5.61,6.56,2,2,3
80,2,3,4,2.93,3.81,2,1,3
81,1,4,4,4.81,5.65,1,1,4
82,1,3,,,,3,2,3
83,1,3,3,4.36,5.52,1,1,3
84,1,3,4,2.85,3.7,2,2,3
85,2,3,,,,3,1,3
86,1,4,,,,3,2,4
87,2,3,3,9.62,10.63,1,2,3
88,2,3,2,3.39,4.63,1,2,3
89,2,4,2,10.17,11.98,1,2,4
90,2,3,3,3.26,4.5,1,2,3
91,1,4,,,,3,2,4
92,1,3,3,8.89,9.93,1,1,3
93,2,3,3,2.81,3.77,1,2,3
94,2,4,4,4.73,6.94,1,2,4
95,1,3,2,5.11,6.36,2,2,3
96,1,4,,,,3,2,4
97,2,3,,5.57,,4,1,3
98,1,3,,,,3,2,3
99,2,3,,,,3,1,3
100,2,3,,,,3,1,3
101,2,4,1,5.61,6.92,2,1,4
102,2,4,4,2.2,3.41,1,2,4
103,2,4,3,2.77,3.93,2,1,4
104,1,3,3,5.78,6.96,1,1,3
105,2,4,2,5.26,6.54,1,2,4
106,1,4,3,5.31,6.53,2,2,4
107,1,4,2,4.07,5.42,2,2,4
108,1,3,4,6.43,8.05,2,2,3
109,1,3,1,4.08,5.69,1,1,3
110,1,3,3,6.22,9.01,1,1,3
111,1,4,,,,3,2,4
112,1,3,,,,3,2,3
113,2,3,1,9.91,11.29,2,1,3
114,2,4,3,4.32,5.41,2,1,4
115,1,3,3,9.7,10.87,1,1,3
116,1,3,,,,3,2,3
117,1,3,3,5.04,6.14,1,1,3
