trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,4,4,2.89,3.59,1,2,4
2,2,4,4,3.72,3.72,1,2,4
3,1,3,3,4.27,5.55,2,2,3
4,2,4,2,2.38,3.74,2,1,4
5,2,3,3,2.86,3.57,2,1,3
6,2,4,4,3.07,3.07,1,2,4
7,1,4,4,3.6,3.6,1,1,4
8,1,3,4,4.87,4.87,1,1,3
9,2,4,1,3.17,4.16,1,2,4
10,2,4,4,3.35,3.35,1,2,4
11,1,3,3,3.98,4.8,2,2,3
12,1,3,3,3.02,3.76,2,2,3
13,2,3,3,2.29,2.94,2,1,3
14,1,3,1,3.25,3.89,1,1,3
15,1,3,3,2.25,2.86,2,2,3
16,2,4,4,2.79,2.79,1,2,4
17,2,4,4,3.67,3.67,1,2,4
18,2,3,3,2.07,2.78,2,1,3
19,2,3,4,3.56,3.56,1,2,3
20,2,3,2,3.69,4.83,2,1,3
21,1,4,4,3.15,3.15,1,1,4
22,2,3,4,3.32,3.32,1,2,3
23,1,3,4,3.78,3.78,1,1,3
24,2,3,4,5.07,5.07,1,2,3
25,1,4,4,3.53,3.53,1,1,4
26,1,3,2,3.45,4.68,2,2,3
27,2,4,4,3.38,3.38,1,2,4
28,1,3,1,5.26,6.28,1,1,3
29,1,3,4,4.4,4.4,1,1,3
30,1,3,4,5.27,5.27,1,1,3
31,2,3,4,2.78,2.78,1,2,3
32,1,4,4,3.1,3.1,1,1,4
33,2,4,4,3.41,3.41,1,2,4
34,2,3,4,2.86,2.86,1,2,3
35,2,4,4,3.21,3.21,1,2,4
36,2,3,4,2.87,2.87,1,2,3
37,2,4,4,3.06,3.06,1,2,4
38,1,4,4,3.77,3.77,1,1,4
39,1,3,1,2.41,3.25,1,1,3
40,2,4,4,2.8,2.8,1,2,4
41,2,4,4,3.19,3.19,1,2,4
42,2,3,3,5.32,6.16,2,1,3
43,2,4,4,3.64,3.64,1,2,4
44,2,3,,4.74,,4,1,3
45,1,4,1,2.06,2.74,1,1,4
46,1,4,4,2.89,2.89,1,1,4
47,1,4,1,2.46,3.12,1,1,4
48,1,4,1,2.93,3.84,1,1,4
49,1,3,1,3.9,4.6,1,1,3
50,2,4,1,2.29,3.48,1,2,4
51,1,3,3,4.29,5.4,2,2,3
52,2,4,4,2.91,2.91,1,2,4
53,1,4,4,2.72,2.72,1,1,4
54,2,3,1,3.17,4.09,1,2,3
55,1,4,1,2.95,3.65,1,1,4
56,2,3,1,3.06,3.76,1,2,3
57,2,3,1,2.98,3.61,1,2,3
58,2,3,1,4.74,5.64,1,2,3
59,1,4,4,3.78,3.78,1,1,4
60,1,4,1,2.48,3.42,1,1,4
61,2,4,4,7.78,7.78,1,2,4
62,2,3,1,4.15,5.12,1,2,3
63,2,3,1,2.95,3.9,1,2,3
64,2,4,4,3.6,3.6,1,2,4
65,1,3,1,2.58,3.28,1,1,3
66,1,3,1,3.41,4.01,1,1,3
67,1,3,1,3.59,4.57,1,1,3
68,2,3,1,3.56,4.43,1,2,3
69,1,3,4,5.48,5.48,1,1,3
70,2,3,1,2.87,3.98,1,2,3
71,1,4,4,3.36,3.36,1,1,4
72,2,3,1,3.07,3.75,1,2,3
73,2,4,4,5,5,1,2,4
74,2,4,4,3.33,3.33,1,2,4
75,2,4,4,2.76,2.76,1,2,4
76,2,4,4,3.11,3.11,1,2,4
77,2,4,4,4.06,4.06,1,2,4
78,1,3,1,3.34,3.99,1,1,3
79,1,3,1,2.67,3.5,1,1,3
80,1,3,1,2.45,3.06,1,1,3
81,2,3,1,3.11,3.99,1,2,3
82,1,4,1,2.37,3.29,1,1,4
83,2,4,4,3.65,3.65,1,2,4
84,2,3,1,7.32,8.21,1,2,3
85,1,4,1,4.71,5.61,1,1,4
86,2,3,1,3.47,4.01,1,2,3
87,1,4,1,3.23,4.06,1,1,4
88,2,4,4,5.38,5.38,1,2,4
89,1,4,4,3.25,3.25,1,1,4
90,1,4,4,2.88,2.88,1,1,4
91,1,4,4,9.1,9.1,1,1,4
92,1,3,1,4.84,5.5,1,1,3
93,1,3,1,4.91,5.81,1,1,3
94,1,4,1,2.01,2.98,1,1,4
95,1,3,1,3.05,3.71,1,1,3
96,1,4,4,3.63,3.63,1,1,4
97,2,4,4,3.57,3.57,1,2,4
98,2,3,1,3.64,4.49,1,2,3
99,2,4,4,6.33,6.33,1,2,4
100,2,3,4,6.9,6.9,1,2,3
101,1,3,4,3.34,3.34,1,1,3
102,1,3,1,3.25,4.01,1,1,3
103,2,4,1,1.97,2.68,1,2,4
104,1,4,1,3.49,4.4,1,1,4
105,1,3,1,3.35,3.91,1,1,3
106,1,3,1,3.94,4.88,1,1,3
107,2,4,4,7.14,7.14,1,2,4
108,2,3,1,6.8,7.93,1,2,3
