trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,3,7.11,8.82,1,2,3
2,2,3,2,6.72,7.95,1,2,3
3,1,4,1,3.3,4.37,1,1,4
4,1,3,1,7.21,8.48,1,1,3
5,2,3,4,3.83,5.12,2,1,3
6,2,3,4,2.58,3.26,2,1,3
7,2,4,4,9.13,9.73,1,2,4
8,2,3,3,5.07,5.74,1,2,3
9,2,3,4,4.7,5.3,2,1,3
10,2,4,4,2.6,3.3,1,2,4
11,1,3,4,2.33,3.03,2,2,3
12,2,3,4,4.19,4.9,2,1,3
13,1,4,4,2.27,2.87,1,1,4
14,2,4,4,4.02,4.63,1,2,4
15,1,4,4,4.12,4.83,1,1,4
16,1,3,3,5.29,6.13,1,1,3
17,2,4,4,3.14,4.01,1,2,4
18,2,3,4,4.05,4.72,2,1,3
19,1,4,4,3.9,5.21,1,1,4
20,2,3,3,4.89,5.55,1,2,3
21,2,3,3,3.99,4.75,1,2,3
22,1,4,4,4.7,6.71,1,1,4
23,2,3,3,4.32,5.01,1,2,3
24,1,4,4,3.31,4.08,1,1,4
25,2,4,4,2.83,3.53,1,2,4
26,1,3,2,3.25,4.15,2,2,3
27,2,3,,,,3,1,3
28,2,4,3,2.6,3.35,2,1,4
29,1,3,4,3.16,3.86,2,2,3
30,1,4,4,3.52,4.18,1,1,4
31,2,3,4,3.29,3.96,2,1,3
32,2,3,3,5.44,6.25,1,2,3
33,1,4,4,2.59,3.77,1,1,4
34,1,4,4,3.45,4.19,1,1,4
35,1,4,4,2.03,2.67,1,1,4
36,1,4,1,3.6,4.44,1,1,4
37,1,3,3,3.12,3.86,1,1,3
38,1,4,4,2.92,3.62,1,1,4
39,1,4,4,3.11,3.73,1,1,4
40,2,3,4,2.22,2.95,2,1,3
41,1,4,4,2.48,3.19,1,1,4
42,2,3,4,2.79,3.61,2,1,3
43,1,3,3,2.86,3.59,1,1,3
44,1,4,4,2.85,4.47,1,1,4
45,2,3,4,3.3,3.96,2,1,3
46,1,4,4,3.62,4.23,1,1,4
47,2,3,3,4.84,5.63,1,2,3
48,2,3,4,2.01,2.57,2,1,3
49,2,3,3,8.01,8.65,1,2,3
50,2,3,3,3.92,4.66,1,2,3
51,1,3,4,3.74,4.42,2,2,3
52,1,3,4,3.84,4.75,2,2,3
53,2,3,3,6.67,7.41,1,2,3
54,1,4,4,3.59,4.32,1,1,4
55,1,4,4,4.43,6.08,1,1,4
56,1,4,1,3.43,4.08,1,1,4
57,1,4,4,3.63,4.48,1,1,4
58,2,3,4,2.32,3,2,1,3
59,1,3,4,3.39,4.15,2,2,3
60,1,3,4,3,3.58,2,2,3
61,1,3,3,2.95,3.61,1,1,3
62,2,3,4,3.36,5.09,2,1,3
63,2,4,4,2.35,3.06,1,2,4
64,2,4,3,5.26,5.96,2,1,4
65,1,3,3,5.79,6.66,1,1,3
66,1,3,4,2.39,4.04,2,2,3
67,1,4,,,,3,2,4
68,1,4,4,4.43,5.12,1,1,4
69,1,4,4,3.12,3.77,1,1,4
70,1,3,2,2.41,3.36,2,2,3
71,2,4,3,5.69,6.32,2,1,4
72,2,4,3,4.69,5.83,2,1,4
73,2,4,4,3.21,4.89,1,2,4
74,1,4,4,3.22,3.88,1,1,4
75,1,3,4,2.68,4.16,2,2,3
76,1,3,4,2.23,2.89,2,2,3
77,1,4,4,4.13,4.83,1,1,4
78,2,4,4,2.37,3.79,1,2,4
79,2,3,3,5.58,6.39,1,2,3
80,1,4,4,3.08,3.72,1,1,4
81,2,3,3,2.71,3.32,1,2,3
82,2,4,4,3.28,4.82,1,2,4
83,2,4,4,2.59,3.97,1,2,4
84,2,3,4,3.65,6.42,2,1,3
85,2,3,1,8.77,9.89,2,1,3
86,2,4,4,2.69,3.26,1,2,4
87,1,3,4,2.27,3.14,2,2,3
