stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward,reward_type,initial_motivation
1,1,1,1,1,0,0,0,0,1,1,3,0.0,2,water
1,1,2,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,3,0,0,1,1,1,1,0,0,3,1.0,2,water
1,1,4,1,1,0,0,0,0,1,1,3,0.0,2,water
1,1,5,0,0,1,1,0,0,1,1,1,0.0,1,water
1,1,6,1,0,0,1,0,1,1,0,2,0.0,1,water
1,1,7,1,0,0,1,1,0,0,1,3,1.0,2,water
1,1,8,1,0,0,1,0,1,1,0,3,0.0,2,water
1,1,9,1,0,0,1,1,0,0,1,2,0.0,1,water
1,1,10,1,1,0,0,0,0,1,1,3,0.0,2,water
1,1,11,1,0,0,1,0,1,1,0,2,0.0,1,water
1,1,12,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,13,1,0,0,1,1,0,0,1,3,1.0,2,water
1,1,14,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,15,0,0,1,1,0,0,1,1,1,0.0,1,water
1,1,16,0,0,1,1,0,0,1,1,3,0.0,2,water
1,1,17,1,1,0,0,0,0,1,1,2,0.0,1,water
1,1,18,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,19,0,0,1,1,0,0,1,1,3,0.0,2,water
1,1,20,0,1,1,0,1,0,0,1,3,1.0,2,water
1,1,21,1,0,0,1,0,1,1,0,2,0.0,1,water
1,1,22,0,1,1,0,1,0,0,1,4,0.0,2,water
1,1,23,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,24,1,1,0,0,1,1,0,0,3,1.0,2,water
1,1,25,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,26,0,0,1,1,1,1,0,0,3,1.0,2,water
1,1,27,1,1,0,0,1,1,0,0,4,0.0,2,water
1,1,28,1,1,0,0,1,1,0,0,3,1.0,2,water
1,1,29,0,1,1,0,0,1,1,0,4,1.0,2,water
1,1,30,0,1,1,0,0,1,1,0,4,1.0,2,water
1,1,31,1,0,0,1,1,0,0,1,1,1.0,1,water
1,1,32,0,1,1,0,1,0,0,1,4,0.0,2,water
1,1,33,1,1,0,0,1,1,0,0,3,1.0,2,water
1,1,34,0,1,1,0,0,1,1,0,3,0.0,2,water
1,1,35,1,1,0,0,0,0,1,1,4,1.0,2,water
1,1,36,1,1,0,0,0,0,1,1,1,1.0,1,water
1,1,37,1,0,0,1,0,1,1,0,2,0.0,1,water
1,1,38,1,1,0,0,1,1,0,0,3,1.0,2,water
1,1,39,1,1,0,0,1,1,0,0,4,0.0,2,water
1,1,40,1,0,0,1,1,0,0,1,3,1.0,2,water
1,1,41,0,1,1,0,0,1,1,0,4,1.0,2,water
1,1,42,0,0,1,1,1,1,0,0,1,0.0,1,water
1,1,43,1,1,0,0,0,0,1,1,4,1.0,2,water
1,1,44,0,1,1,0,0,1,1,0,4,1.0,2,water
1,1,45,1,1,0,0,0,0,1,1,4,1.0,2,water
1,1,46,0,0,1,1,1,1,0,0,3,1.0,2,water
1,1,47,0,0,1,1,1,1,0,0,4,0.0,2,water
1,1,48,1,1,0,0,0,0,1,1,4,1.0,2,water
1,1,49,1,0,0,1,1,0,0,1,3,1.0,2,water
1,1,50,1,1,0,0,0,0,1,1,2,0.0,1,water
1,2,1,1,0,0,1,0,1,1,0,4,1.0,2,water
1,2,2,1,1,0,0,0,0,1,1,3,0.0,2,water
1,2,3,0,0,1,1,1,1,0,0,4,0.0,2,water
1,2,4,0,0,1,1,0,0,1,1,0,,0,water
1,2,5,0,0,1,1,0,0,1,1,0,,0,water
1,2,6,0,1,1,0,0,1,1,0,0,,0,water
1,2,7,1,1,0,0,0,0,1,1,3,0.0,2,water
1,2,8,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,9,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,10,0,1,1,0,1,0,0,1,3,1.0,2,water
1,2,11,1,0,0,1,0,1,1,0,0,,0,water
1,2,12,0,1,1,0,0,1,1,0,2,1.0,1,water
1,2,13,1,0,0,1,0,1,1,0,2,0.0,1,water
1,2,14,1,1,0,0,1,1,0,0,3,1.0,2,water
1,2,15,0,1,1,0,1,0,0,1,3,1.0,2,water
1,2,16,0,0,1,1,0,0,1,1,2,1.0,1,water
1,2,17,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,18,1,1,0,0,0,0,1,1,1,1.0,1,water
1,2,19,1,1,0,0,0,0,1,1,3,0.0,2,water
1,2,20,1,1,0,0,1,1,0,0,2,0.0,1,water
1,2,21,1,1,0,0,0,0,1,1,1,1.0,1,water
1,2,22,0,1,1,0,0,1,1,0,2,1.0,1,water
1,2,23,1,0,0,1,0,1,1,0,4,1.0,2,water
1,2,24,1,1,0,0,1,1,0,0,3,1.0,2,water
1,2,25,1,0,0,1,0,1,1,0,2,0.0,1,water
1,2,26,0,1,1,0,0,1,1,0,2,1.0,1,water
1,2,27,0,1,1,0,0,1,1,0,2,1.0,1,water
1,2,28,1,1,0,0,0,0,1,1,1,1.0,1,water
1,2,29,1,0,0,1,1,0,0,1,4,0.0,2,water
1,2,30,0,1,1,0,1,0,0,1,3,1.0,2,water
1,2,31,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,32,0,1,1,0,0,1,1,0,1,0.0,1,water
1,2,33,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,34,1,1,0,0,0,0,1,1,3,0.0,2,water
1,2,35,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,36,1,1,0,0,0,0,1,1,3,0.0,2,water
1,2,37,0,0,1,1,1,1,0,0,4,0.0,2,water
1,2,38,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,39,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,40,1,0,0,1,0,1,1,0,3,0.0,2,water
1,2,41,1,0,0,1,0,1,1,0,1,1.0,1,water
1,2,42,1,0,0,1,0,1,1,0,4,1.0,2,water
1,2,43,0,0,1,1,0,0,1,1,0,,0,water
1,2,44,1,1,0,0,0,0,1,1,4,1.0,2,water
