stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward,reward_type,initial_motivation
1,1,1,0,0,1,1,0,0,1,1,4,1.0,2,water
1,1,2,1,0,0,1,0,1,1,0,2,0.0,1,water
1,1,3,1,1,0,0,1,1,0,0,3,1.0,2,water
1,1,4,0,0,1,1,1,1,0,0,2,1.0,1,water
1,1,5,1,0,0,1,1,0,0,1,4,0.0,2,water
1,1,6,1,0,0,1,1,0,0,1,1,1.0,1,water
1,1,7,0,1,1,0,0,1,1,0,2,1.0,1,water
1,1,8,0,0,1,1,0,0,1,1,4,1.0,2,water
1,1,9,1,0,0,1,1,0,0,1,1,1.0,1,water
1,1,10,0,1,1,0,0,1,1,0,1,0.0,1,water
1,1,11,0,0,1,1,1,1,0,0,0,,0,water
1,1,12,1,0,0,1,1,0,0,1,4,0.0,2,water
1,1,13,0,0,1,1,0,0,1,1,4,1.0,2,water
1,1,14,0,0,1,1,1,1,0,0,2,1.0,1,water
1,1,15,1,1,0,0,1,1,0,0,4,0.0,2,water
1,1,16,1,0,0,1,0,1,1,0,3,0.0,2,water
1,1,17,0,1,1,0,0,1,1,0,4,1.0,2,water
1,1,18,0,1,1,0,0,1,1,0,1,0.0,1,water
1,1,19,0,0,1,1,1,1,0,0,0,,0,water
1,1,20,1,0,0,1,0,1,1,0,4,1.0,2,water
1,1,21,0,0,1,1,0,0,1,1,4,1.0,2,water
1,1,22,0,1,1,0,0,1,1,0,0,,0,water
1,1,23,1,0,0,1,1,0,0,1,2,0.0,1,water
1,1,24,0,0,1,1,1,1,0,0,2,1.0,1,water
1,1,25,0,1,1,0,0,1,1,0,0,,0,water
1,1,26,1,1,0,0,1,1,0,0,4,0.0,2,water
1,1,27,1,1,0,0,0,0,1,1,1,1.0,1,water
1,1,28,0,0,1,1,1,1,0,0,0,,0,water
1,1,29,0,0,1,1,0,0,1,1,1,0.0,1,water
1,1,30,1,1,0,0,0,0,1,1,1,1.0,1,water
1,1,31,0,0,1,1,1,1,0,0,1,0.0,1,water
1,1,32,0,1,1,0,1,0,0,1,0,,0,water
1,1,33,0,0,1,1,1,1,0,0,4,0.0,2,water
1,1,34,0,1,1,0,1,0,0,1,1,0.0,1,water
1,1,35,1,0,0,1,1,0,0,1,1,1.0,1,water
1,1,36,0,1,1,0,0,1,1,0,2,1.0,1,water
1,1,37,1,0,0,1,1,0,0,1,4,0.0,2,water
1,1,38,0,0,1,1,0,0,1,1,2,1.0,1,water
1,1,39,1,0,0,1,1,0,0,1,1,1.0,1,water
1,1,40,0,0,1,1,0,0,1,1,4,1.0,2,water
1,1,41,0,0,1,1,0,0,1,1,4,1.0,2,water
1,1,42,0,1,1,0,1,0,0,1,4,0.0,2,water
1,1,43,1,1,0,0,1,1,0,0,2,0.0,1,water
1,1,44,1,1,0,0,0,0,1,1,4,1.0,2,water
1,1,45,1,0,0,1,1,0,0,1,1,1.0,1,water
1,1,46,1,1,0,0,1,1,0,0,1,1.0,1,water
1,1,47,1,0,0,1,1,0,0,1,2,0.0,1,water
1,1,48,1,1,0,0,0,0,1,1,4,1.0,2,water
1,1,49,0,0,1,1,1,1,0,0,2,1.0,1,water
1,1,50,1,0,0,1,1,0,0,1,2,0.0,1,water
1,1,51,1,0,0,1,0,1,1,0,4,1.0,2,water
1,1,52,1,1,0,0,1,1,0,0,4,0.0,2,water
1,1,53,1,1,0,0,0,0,1,1,1,1.0,1,water
1,1,54,1,0,0,1,1,0,0,1,2,0.0,1,water
1,1,55,1,1,0,0,1,1,0,0,1,1.0,1,water
1,1,56,1,0,0,1,1,0,0,1,4,0.0,2,water
1,2,1,0,1,1,0,1,0,0,1,4,0.0,2,water
1,2,2,0,1,1,0,1,0,0,1,4,0.0,2,water
1,2,3,0,1,1,0,1,0,0,1,1,0.0,1,water
1,2,4,1,1,0,0,1,1,0,0,4,0.0,2,water
1,2,5,0,0,1,1,0,0,1,1,3,0.0,2,water
1,2,6,0,1,1,0,0,1,1,0,1,0.0,1,water
1,2,7,0,1,1,0,0,1,1,0,4,1.0,2,water
1,2,8,0,1,1,0,0,1,1,0,1,0.0,1,water
1,2,9,1,0,0,1,1,0,0,1,2,0.0,1,water
1,2,10,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,11,0,1,1,0,0,1,1,0,3,0.0,2,water
1,2,12,1,0,0,1,1,0,0,1,2,0.0,1,water
1,2,13,1,0,0,1,1,0,0,1,4,0.0,2,water
1,2,14,0,1,1,0,1,0,0,1,1,0.0,1,water
1,2,15,1,1,0,0,1,1,0,0,1,1.0,1,water
1,2,16,0,0,1,1,1,1,0,0,2,1.0,1,water
1,2,17,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,18,1,0,0,1,0,1,1,0,4,1.0,2,water
1,2,19,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,20,1,0,0,1,1,0,0,1,3,1.0,2,water
1,2,21,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,22,1,0,0,1,1,0,0,1,2,0.0,1,water
1,2,23,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,24,1,0,0,1,0,1,1,0,2,0.0,1,water
1,2,25,0,1,1,0,1,0,0,1,4,0.0,2,water
1,2,26,0,1,1,0,1,0,0,1,2,1.0,1,water
1,2,27,0,1,1,0,1,0,0,1,1,0.0,1,water
1,2,28,0,1,1,0,0,1,1,0,4,1.0,2,water
1,2,29,0,0,1,1,0,0,1,1,4,1.0,2,water
1,2,30,0,0,1,1,1,1,0,0,4,0.0,2,water
1,2,31,1,1,0,0,0,0,1,1,2,0.0,1,water
1,2,32,0,1,1,0,1,0,0,1,4,0.0,2,water
1,2,33,1,0,0,1,0,1,1,0,2,0.0,1,water
1,2,34,1,0,0,1,1,0,0,1,1,1.0,1,water
1,2,35,1,0,0,1,1,0,0,1,2,0.0,1,water
1,2,36,1,0,0,1,0,1,1,0,4,1.0,2,water
1,2,37,1,0,0,1,1,0,0,1,3,1.0,2,water
1,2,38,1,1,0,0,0,0,1,1,3,0.0,2,water
1,2,39,0,0,1,1,1,1,0,0,2,1.0,1,water
1,2,40,0,1,1,0,1,0,0,1,4,0.0,2,water
1,2,41,1,1,0,0,0,0,1,1,2,0.0,1,water
1,2,42,0,1,1,0,0,1,1,0,4,1.0,2,water
1,2,43,0,1,1,0,0,1,1,0,4,1.0,2,water
1,2,44,1,0,0,1,1,0,0,1,1,1.0,1,water
1,2,45,0,0,1,1,1,1,0,0,4,0.0,2,water
1,2,46,1,1,0,0,1,1,0,0,1,1.0,1,water
1,2,47,1,0,0,1,1,0,0,1,4,0.0,2,water
1,2,48,0,0,1,1,1,1,0,0,2,1.0,1,water
1,2,49,1,1,0,0,0,0,1,1,4,1.0,2,water
1,2,50,0,1,1,0,1,0,0,1,3,1.0,2,water
1,3,1,0,0,1,1,0,0,1,1,3,0.0,2,water
1,3,2,1,0,0,1,0,1,1,0,0,,0,water
1,3,3,1,1,0,0,0,0,1,1,4,1.0,2,water
1,3,4,1,1,0,0,1,1,0,0,3,1.0,2,water
1,3,5,1,1,0,0,1,1,0,0,4,0.0,2,water
1,3,6,1,0,0,1,1,0,0,1,3,1.0,2,water
1,3,7,0,1,1,0,0,1,1,0,1,0.0,1,water
1,3,8,0,0,1,1,0,0,1,1,4,1.0,2,water
1,3,9,1,1,0,0,1,1,0,0,4,0.0,2,water
1,3,10,0,0,1,1,1,1,0,0,1,0.0,1,water
1,3,11,1,1,0,0,1,1,0,0,1,1.0,1,water
1,3,12,0,1,1,0,1,0,0,1,1,0.0,1,water
1,3,13,1,0,0,1,0,1,1,0,4,1.0,2,water
