trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,1,2.87,4.26,1,1,4
2,1,3,3,3.62,4.85,1,1,3
3,1,4,2,3.29,4.42,2,2,4
4,1,3,4,2.2,3.24,2,2,3
5,2,3,4,4.25,5.57,2,1,3
6,1,3,2,5.39,6.21,2,2,3
7,1,4,4,3.54,4.56,1,1,4
8,1,4,1,3.34,4.2,1,1,4
9,2,4,2,2.49,3.22,1,2,4
10,1,3,2,2.79,3.52,2,2,3
11,2,3,2,9.84,10.49,1,2,3
12,1,4,1,2.16,2.86,1,1,4
13,1,3,2,2.93,3.69,2,2,3
14,2,3,1,2.63,3.29,2,1,3
15,2,3,2,3.13,3.76,1,2,3
16,1,3,2,3.02,3.71,2,2,3
17,2,3,1,3.12,3.79,2,1,3
18,2,4,1,2.86,3.48,2,1,4
19,2,4,1,2.7,3.52,2,1,4
20,2,4,1,3.65,4.36,2,1,4
21,2,3,1,2.59,3.25,2,1,3
22,1,4,3,10.41,11.36,2,2,4
23,2,3,1,3.48,4.1,2,1,3
24,1,3,1,2.64,3.35,1,1,3
25,1,3,2,2.47,3.31,2,2,3
26,1,3,1,2.39,3,1,1,3
27,1,4,1,2.15,2.79,1,1,4
28,2,3,1,3.02,3.79,2,1,3
29,1,4,1,2.63,3.34,1,1,4
30,2,4,2,4.55,5.2,1,2,4
31,2,4,1,2.15,2.72,2,1,4
32,1,3,1,3.49,4.12,1,1,3
33,1,4,1,2.97,3.54,1,1,4
34,2,3,2,2.59,3.2,1,2,3
35,2,3,1,3.26,3.86,2,1,3
36,2,3,2,6.15,6.86,1,2,3
37,2,3,1,2.93,3.53,2,1,3
38,2,3,2,3.66,4.36,1,2,3
39,1,3,1,3.06,3.65,1,1,3
40,1,3,1,3.07,3.8,1,1,3
41,2,4,1,2.44,3.1,2,1,4
42,1,4,1,2.32,2.94,1,1,4
43,2,3,2,2.94,3.58,1,2,3
44,2,4,1,2.72,3.36,2,1,4
45,1,3,1,2.97,3.69,1,1,3
46,2,4,2,2.85,3.43,1,2,4
47,2,3,2,4.82,5.48,1,2,3
48,1,3,1,2.47,3.1,1,1,3
49,1,3,1,3.37,4.11,1,1,3
50,2,3,2,2.42,3.11,1,2,3
51,2,4,1,2.21,2.79,2,1,4
52,1,3,1,2.83,3.44,1,1,3
53,2,4,2,2.73,3.37,1,2,4
54,2,4,1,3,3.57,2,1,4
55,2,3,2,3.05,3.68,1,2,3
56,2,4,2,2.54,3.18,1,2,4
57,1,3,2,3.14,3.78,2,2,3
58,1,4,1,2.37,3.01,1,1,4
59,1,3,1,2.91,3.46,1,1,3
60,1,3,1,2.43,3.13,1,1,3
61,1,3,1,2.76,3.46,1,1,3
62,1,3,2,3.11,4.01,2,2,3
63,2,3,2,4.87,5.51,1,2,3
64,1,4,1,5,5.8,1,1,4
65,2,3,2,4.36,4.94,1,2,3
66,2,3,1,5.09,5.72,2,1,3
67,2,4,1,2.85,3.49,2,1,4
68,1,4,1,2.18,2.77,1,1,4
69,2,3,2,2.54,3.14,1,2,3
70,2,3,1,3.58,4.22,2,1,3
71,1,4,1,2.29,2.88,1,1,4
72,1,3,2,4.5,5.07,2,2,3
73,1,3,2,3.56,4.18,2,2,3
74,2,4,1,2.68,3.25,2,1,4
75,2,4,1,2.72,3.31,2,1,4
76,1,4,3,7.21,8.05,2,2,4
77,1,4,1,2.4,2.95,1,1,4
78,1,3,1,3.23,3.82,1,1,3
79,1,4,1,2.75,3.37,1,1,4
80,2,4,1,3.47,4.11,2,1,4
81,1,3,2,2.04,2.72,2,2,3
82,2,3,1,2.91,3.77,2,1,3
83,2,4,1,3.56,4.29,2,1,4
84,1,3,,,,3,2,3
85,2,3,2,4.67,5.21,1,2,3
86,1,4,,,,3,2,4
87,2,3,,,,3,1,3
88,2,4,1,2.72,3.34,2,1,4
