trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,4.04,5.11,2,2,3
2,1,3,3,2.46,3.26,1,1,3
3,1,3,1,2.32,3.46,1,1,3
4,2,4,2,2.75,3.37,1,2,4
5,1,3,2,2.04,2.61,2,2,3
6,2,3,2,3,3.55,1,2,3
7,1,3,1,2.18,2.8,1,1,3
8,1,4,2,2.85,3.65,2,2,4
9,2,3,1,2.15,2.74,2,1,3
10,2,3,3,4.63,5.71,1,2,3
11,1,4,2,2.44,3.07,2,2,4
12,2,3,2,3.07,3.71,1,2,3
13,2,3,3,2.81,3.28,1,2,3
14,2,3,4,4.01,5.24,2,1,3
15,2,4,2,4.35,5.26,1,2,4
16,1,4,2,3.3,3.88,2,2,4
17,2,4,,,,3,1,4
18,2,4,4,2.88,4.72,1,2,4
19,1,3,2,2.38,3.01,2,2,3
20,1,3,1,2.83,3.42,1,1,3
21,1,4,2,3.14,3.73,2,2,4
22,1,3,,,,3,2,3
23,1,3,2,2.27,2.9,2,2,3
24,1,4,,,,3,2,4
25,2,3,2,1.53,1.53,,1,3
26,2,4,3,4.94,5.81,2,1,4
27,2,3,1,2.62,3.2,2,1,3
28,1,3,1,2.6,3.2,1,1,3
29,2,4,1,5.47,6.1,2,1,4
30,2,4,2,2.15,2.82,,1,4
31,1,4,1,2.57,3.17,1,1,4
32,2,3,2,2.61,3.53,1,2,3
33,1,3,1,5.18,6.28,1,1,3
34,2,3,2,2.39,3.33,1,2,3
35,2,4,1,2.84,3.4,2,1,4
36,1,3,1,7.83,8.79,1,1,3
37,1,3,1,4.04,5.71,1,1,3
38,1,4,2,3.58,4.36,2,2,4
39,1,4,1,2.39,3.03,1,1,4
40,1,4,2,2.49,3.45,2,2,4
41,2,3,1,2.08,2.7,2,1,3
42,2,4,1,2.75,3.65,2,1,4
43,2,4,2,2.6,3.24,1,2,4
44,1,3,1,2.76,3.32,1,1,3
45,2,4,1,4.36,5.21,2,1,4
46,2,3,2,3.44,4.22,1,2,3
47,1,4,1,2.84,3.65,1,1,4
48,2,4,2,4.65,5.47,1,2,4
49,2,3,1,2.66,3.94,2,1,3
50,2,3,2,7.33,8.24,1,2,3
51,2,4,1,2.75,3.69,2,1,4
52,1,4,2,2.86,3.94,2,2,4
53,1,3,1,2.44,3.45,1,1,3
54,1,4,2,2.71,3.57,2,2,4
55,1,4,1,2.43,3.04,1,1,4
56,1,3,1,3.51,4.43,1,1,3
57,2,3,2,3.02,4,1,2,3
58,2,3,1,2.7,3.26,2,1,3
59,2,3,2,2.16,2.78,1,2,3
60,1,3,1,3.73,4.24,1,1,3
61,2,4,2,8.89,10.13,1,2,4
62,2,3,1,2.8,3.54,2,1,3
63,1,3,1,3.17,3.79,1,1,3
64,2,3,2,2.67,3.65,1,2,3
65,1,3,1,2.87,3.44,1,1,3
66,2,4,1,4.64,5.51,2,1,4
67,1,3,2,3.07,4.41,2,2,3
68,2,3,2,2.38,3.01,1,2,3
69,2,4,2,2.95,3.84,1,2,4
70,2,3,1,2.7,3.34,2,1,3
71,1,4,1,3.41,4.16,1,1,4
72,1,4,2,4.7,5.58,2,2,4
73,1,4,2,3.99,4.65,2,2,4
74,1,4,1,6.6,7.51,1,1,4
75,1,3,2,2.09,2.73,2,2,3
76,1,4,1,2.19,3.02,1,1,4
77,1,3,2,2.35,2.98,2,2,3
78,1,3,1,2.86,3.51,1,1,3
79,2,4,2,3.11,4.93,1,2,4
80,1,4,2,2.2,3.11,2,2,4
81,1,3,1,4.01,5.02,1,1,3
82,2,4,2,3.71,4.46,1,2,4
83,2,4,2,2.37,2.98,1,2,4
84,2,3,1,2.26,3.33,2,1,3
85,2,4,1,3.57,4.25,2,1,4
86,1,3,2,2.72,3.66,2,2,3
87,1,4,2,2.61,3.22,2,2,4
88,2,4,1,3.29,3.92,2,1,4
89,1,3,2,3.1,4.02,2,2,3
90,1,4,2,3.37,4.18,2,2,4
91,2,4,1,2.82,3.71,2,1,4
92,2,4,2,2.87,3.57,1,2,4
93,1,4,1,4.14,4.78,1,1,4
94,1,3,2,3.52,4.27,2,2,3
95,2,4,2,3.24,4.09,1,2,4
96,1,4,2,2.31,3.56,2,2,4
97,1,3,1,2.07,2.69,1,1,3
98,1,3,2,2.21,3.37,2,2,3
99,1,3,1,8.92,9.88,1,1,3
100,2,4,2,2.97,3.97,1,2,4
101,1,3,2,2.57,3.17,2,2,3
102,1,4,1,3.02,3.86,1,1,4
103,2,4,2,3.41,4.43,1,2,4
104,2,3,1,2.89,3.82,2,1,3
